dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
japanesevowels,random_cov_state,0.9839705286795409,0.009416793921985354,0.017819569647161988,0.016350742685937707,0.9937839937839938,2160.0,10.0,3
japanesevowels,ag_pia_single,0.9837350278355372,0.005593113317621119,0.017584068803158326,0.012607337968492284,0.9751359751359753,2160.0,10.0,3
japanesevowels,dba_sameclass,0.9800850697535949,0.002614689611056866,0.01393411072121605,0.009216454919345812,0.9813519813519814,2160.0,10.0,3
japanesevowels,ag_target_direct,0.9790992018151202,0.0057580658917794954,0.012948242782741278,0.008476404458717177,0.9875679875679876,2160.0,10.0,3
japanesevowels,csta_topk_uniform_top5,0.9785341333074079,0.0069528804284001424,0.012383174275029033,0.012729027076391956,0.9875679875679877,2160.0,10.0,3
japanesevowels,ag_pia_multihead5,0.9752436987715091,0.0015689369772219984,0.009092739739130199,0.00956402578266576,0.9875679875679877,2160.0,10.0,3
japanesevowels,wdba_sameclass,0.9748549646117771,0.007682807272662274,0.008704005579398247,0.004335696619091275,0.9875679875679876,2160.0,10.0,3
japanesevowels,csta_template_random_within_bank,0.9726782160838253,0.008876600963315766,0.0065272570514464485,0.012771527254437061,0.987611154277821,2160.0,10.0,3
japanesevowels,pca_cov_state,0.9701810617784153,0.008767104124671622,0.004030102746036397,0.009168969778264775,0.987611154277821,2160.0,10.0,3
natops,ag_pia_multihead5,0.9646732114366885,0.006478218115827743,0.04303067915351233,0.009727533669196566,0.9813519813519814,1440.0,10.0,3
natops,ag_target_direct,0.9627626412031071,0.008608484107705447,0.04112010891993086,0.021502420796194358,0.9813519813519814,1440.0,10.0,3
natops,csta_topk_uniform_top5,0.9608696404345388,0.005711285449272913,0.03922710815136262,0.013092921635537373,0.9813519813519814,1440.0,10.0,3
natops,ag_pia_single,0.960702797353617,0.009693008729863445,0.03906026507044088,0.007841301262438925,0.9813519813519814,1440.0,10.0,3
natops,dba_sameclass,0.9572815415000319,0.003189264695032372,0.03563900921685559,0.017856528443824713,0.972027972027972,1440.0,10.0,3
natops,random_cov_state,0.9535241013126406,0.011625995422057478,0.031881569029464485,0.02456988653363954,0.9813519813519814,1440.0,10.0,3
natops,pca_cov_state,0.9512742307142527,0.023066197393943375,0.02963169843107642,0.008798131206829273,0.972027972027972,1440.0,10.0,3
natops,wdba_sameclass,0.9471451759840152,0.011636287485505716,0.02550264370083899,0.005438061420117272,0.9813519813519814,1440.0,10.0,3
natops,csta_template_random_within_bank,0.9312632489390053,0.02358337372866551,0.009620716655829012,0.019840076588527752,0.9813519813519814,1440.0,10.0,3
racketsports,wdba_sameclass,0.8968577312346772,0.012581804056452877,0.02725023156265305,0.025650419761529725,0.9704506363949088,1200.0,10.0,3
racketsports,csta_topk_uniform_top5,0.8877814485757538,0.007457931092273792,0.01817394890372955,0.006226852950702653,0.9606481481481483,1200.0,10.0,3
racketsports,random_cov_state,0.8846388859417199,0.012082812432002751,0.015031386269695765,0.004064640309563056,0.9504995126705653,1200.0,10.0,3
racketsports,csta_template_random_within_bank,0.8819185708150091,0.009152808122883034,0.012311071142984945,0.005824811551464034,0.9508442265795206,1200.0,10.0,3
racketsports,pca_cov_state,0.8798842950588853,0.01991009129423331,0.010276795386861068,0.010102541483108792,0.9198813004734058,1200.0,10.0,3
racketsports,dba_sameclass,0.872503601911864,0.005570079636005558,0.002896102239839826,0.01581934993763173,0.9607162309368191,1200.0,10.0,3
racketsports,ag_target_direct,0.8681659325025368,0.019322402961873323,-0.00144156716948729,0.0066969899974123805,0.9206749512670566,1200.0,10.0,3
racketsports,ag_pia_multihead5,0.8638893294510522,0.020953002808251648,-0.005718170220971837,0.012752927236237499,0.9404100529100529,1200.0,10.0,3
racketsports,ag_pia_single,0.8614287786106547,0.031480908495687604,-0.00817872106136952,0.04462072459935357,0.9507066276803119,1200.0,10.0,3
