dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
japanesevowels,random_cov_state,0.9839705286795409,0.009416793921985354,0.017819569647161988,0.016350742685937707,0.9937839937839938,2160.0,10.0,3
japanesevowels,dba_sameclass,0.9800850697535949,0.002614689611056866,0.01393411072121605,0.009216454919345812,0.9813519813519814,2160.0,10.0,3
japanesevowels,csta_topk_uniform_top5,0.9785341333074079,0.0069528804284001424,0.012383174275029033,0.012729027076391956,0.9875679875679877,2160.0,10.0,3
japanesevowels,ag_target_direct,0.9782433264652198,0.01147256888879043,0.012092367432840923,0.01686432268224706,0.987974987974988,2160.0,10.0,3
japanesevowels,ag_pia_single,0.9768746388555088,0.008533302443228552,0.010723679823129975,0.01459544031834616,0.9875679875679876,2160.0,10.0,3
japanesevowels,wdba_sameclass,0.9748549646117771,0.007682807272662274,0.008704005579398247,0.004335696619091275,0.9875679875679876,2160.0,10.0,3
japanesevowels,ag_pia_multihead5,0.9745442557595786,0.005533246800016629,0.00839329672719972,0.01275588186195071,0.9813951480618147,2160.0,10.0,3
japanesevowels,csta_template_random_within_bank,0.9726782160838253,0.008876600963315766,0.0065272570514464485,0.012771527254437061,0.987611154277821,2160.0,10.0,3
japanesevowels,pca_cov_state,0.9701810617784153,0.008767104124671622,0.004030102746036397,0.009168969778264775,0.987611154277821,2160.0,10.0,3
natops,csta_topk_uniform_top5,0.9608696404345388,0.005711285449272913,0.03922710815136262,0.013092921635537373,0.9813519813519814,1440.0,10.0,3
natops,ag_target_direct,0.9602735106758821,0.017097894816281704,0.03863097839270594,0.014916842222482879,0.9813519813519814,1440.0,10.0,3
natops,ag_pia_single,0.960205470133162,0.005754223207178345,0.038562937849985914,0.02091158962142149,0.9813519813519814,1440.0,10.0,3
natops,dba_sameclass,0.9572815415000319,0.003189264695032372,0.03563900921685559,0.017856528443824713,0.972027972027972,1440.0,10.0,3
natops,random_cov_state,0.9535241013126406,0.011625995422057478,0.031881569029464485,0.02456988653363954,0.9813519813519814,1440.0,10.0,3
natops,pca_cov_state,0.9512742307142527,0.023066197393943375,0.02963169843107642,0.008798131206829273,0.972027972027972,1440.0,10.0,3
natops,ag_pia_multihead5,0.9487777310182229,0.010545926592640123,0.027135198735046735,0.018132621329146878,0.9813519813519814,1440.0,10.0,3
natops,wdba_sameclass,0.9471451759840152,0.011636287485505716,0.02550264370083899,0.005438061420117272,0.9813519813519814,1440.0,10.0,3
natops,csta_template_random_within_bank,0.9312632489390053,0.02358337372866551,0.009620716655829012,0.019840076588527752,0.9813519813519814,1440.0,10.0,3
racketsports,wdba_sameclass,0.8968577312346772,0.012581804056452877,0.02725023156265305,0.025650419761529725,0.9704506363949088,1200.0,10.0,3
racketsports,csta_topk_uniform_top5,0.8877814485757538,0.007457931092273792,0.01817394890372955,0.006226852950702653,0.9606481481481483,1200.0,10.0,3
racketsports,random_cov_state,0.8846388859417199,0.012082812432002751,0.015031386269695765,0.004064640309563056,0.9504995126705653,1200.0,10.0,3
racketsports,csta_template_random_within_bank,0.8819185708150091,0.009152808122883034,0.012311071142984945,0.005824811551464034,0.9508442265795206,1200.0,10.0,3
racketsports,ag_target_direct,0.8801739400923334,0.0037277635447619823,0.010566440420309223,0.009771635544636998,0.9501444583681425,1200.0,10.0,3
racketsports,pca_cov_state,0.8798842950588853,0.01991009129423331,0.010276795386861068,0.010102541483108792,0.9198813004734058,1200.0,10.0,3
racketsports,ag_pia_multihead5,0.8736322036255256,0.023708604766922336,0.004024703953501445,0.015540289299516919,0.9401334217897684,1200.0,10.0,3
racketsports,dba_sameclass,0.872503601911864,0.005570079636005558,0.002896102239839826,0.01581934993763173,0.9607162309368191,1200.0,10.0,3
racketsports,ag_pia_single,0.8650545832398352,0.052365470109708094,-0.0045529164321889875,0.046599769647463485,0.9594498910675382,1200.0,10.0,3
