dataset,seed,u5_f1,ao_fisher_f1,ao_contrast_f1,rand_cov_f1,pca_cov_f1,wdba_f1
atrialfibrillation,1,0.2666666666666666,0.1666666666666666,0.1082251082251082,0.0555555555555555,0.1309523809523809,
atrialfibrillation,2,0.1666666666666666,0.1111111111111111,0.2222222222222222,0.261111111111111,0.1623931623931624,
atrialfibrillation,3,0.3722943722943723,0.3722943722943723,0.175438596491228,0.2,0.0444444444444444,
ering,1,0.7580623914313596,0.6680142298684761,0.7324160591450051,0.807341689553242,0.8528930220106692,
ering,2,0.8671337553903701,0.613559116065003,0.7523629727175204,0.8771350496472868,0.8701537940854668,
ering,3,0.836349387192084,0.8933303210512679,0.8052337721108117,0.6789918313366403,0.827486048389814,
handmovementdirection,1,0.3083036244800951,0.2786205982374666,0.2586098541980895,0.2978106676959372,0.3510470507753117,
handmovementdirection,2,0.2571428571428571,0.2522943006813974,0.2244603262278635,0.2469093406593406,0.2567315286065286,
handmovementdirection,3,0.2517330397071109,0.2309322528325223,0.2775824964131994,0.326324469181612,0.2851921920996254,
handwriting,1,0.4692893639142952,0.4857840580229089,0.4881782401061656,0.4822955299476751,0.5107466165913952,
handwriting,2,0.4788160889086109,0.4546900439032239,0.4707548091655767,0.4569835573835273,0.435722330977586,
handwriting,3,0.4560640132267901,0.4505783303802663,0.4521896211163615,0.4538730181652988,0.455852819182687,
japanesevowels,1,0.977748412110884,0.9849823092475836,0.9664381754488234,0.9866328147908892,0.9627034640761972,
japanesevowels,2,0.9720074904623128,0.964063243159154,0.977694147423804,0.973509205873986,0.968010015945806,
japanesevowels,3,0.9858464973490269,0.9914202906409588,0.974393234125543,0.9917695653737476,0.9798297053132424,
natops,1,0.966476799110864,0.9721214722343507,0.96089209818718,0.9498025636352592,0.972152603731551,
natops,2,0.96107248923737,0.9419070512820512,0.9718951883498628,0.9665552053092652,0.9265130465331672,
natops,3,0.9550596329553824,0.9198300588892272,0.9250172081667776,0.9442145349933976,0.9551570418780396,
racketsports,1,0.8836541979147613,0.8970523858164308,0.8811246796321424,0.8852757165720937,0.8644622412228047,
racketsports,2,0.88329945799458,0.877184664584263,0.883234126984127,0.8722502514351462,0.872829417773238,
racketsports,3,0.8963906898179199,0.8479563095177036,0.8226575456053069,0.8963906898179199,0.9023612261806132,
