dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,csta_topk_uniform_top5_ao_fisher,0.21669071669071668,0.1375898912209302,0.02070522070522074,0.21510388438144462,0.8518518518518517,120.0,10.0,3
atrialfibrillation,csta_topk_uniform_top5_ao_contrastive,0.1686286423128528,0.05730285426443807,-0.027356853672643126,0.06254839045255019,0.8518518518518517,120.0,10.0,3
ering,csta_topk_uniform_top5_ao_contrastive,0.7633376013244457,0.03762893414897115,-0.0019558094907586865,0.17119833028808065,0.9259259259259259,240.0,10.0,3
ering,csta_topk_uniform_top5_ao_fisher,0.7249678889949157,0.14832656960499246,-0.040325521820288736,0.2110273954695994,0.9259259259259259,240.0,10.0,3
handmovementdirection,csta_topk_uniform_top5_ao_fisher,0.2539490505837954,0.023887197822158486,0.04425777601577877,0.004589206687911667,0.40640536263000765,1280.0,10.0,3
handmovementdirection,csta_topk_uniform_top5_ao_contrastive,0.25355089227971744,0.02691999374198667,0.0438596177117008,0.039980455484045434,0.3596820347358778,1280.0,10.0,3
handwriting,csta_topk_uniform_top5_ao_contrastive,0.4703742234627013,0.017997327810156873,0.05601759729536404,0.04605132830648383,0.4350925925925926,1200.0,10.0,3
handwriting,csta_topk_uniform_top5_ao_fisher,0.46368414410213304,0.019249186827058336,0.049327517934795784,0.05244864147238482,0.39364814814814814,1200.0,10.0,3
japanesevowels,csta_topk_uniform_top5_ao_fisher,0.9801552810158988,0.014303047328892607,0.02035430530742958,0.010249405765829682,0.9813951480618148,2160.0,10.0,3
japanesevowels,csta_topk_uniform_top5_ao_contrastive,0.9728418523327235,0.0057861312960998355,0.013040876624254238,0.008520637863451143,1.0,2160.0,10.0,3
natops,csta_topk_uniform_top5_ao_contrastive,0.9526014982346068,0.024514012160224575,0.03095896595143059,0.03087978539094697,0.9813519813519814,1440.0,10.0,3
natops,csta_topk_uniform_top5_ao_fisher,0.944619527468543,0.026251021364974616,0.02297699518536685,0.020555348023842658,0.9813519813519814,1440.0,10.0,3
racketsports,csta_topk_uniform_top5_ao_fisher,0.8740644533061325,0.024696314822210578,-0.005884931239186504,0.026645482885216627,0.9502178649237472,1200.0,10.0,3
racketsports,csta_topk_uniform_top5_ao_contrastive,0.8623387840738587,0.034381142459657434,-0.017610600471460236,0.038961129364307734,0.9703825536062379,1200.0,10.0,3
