dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,jobda_cleanroom,0.22886002886002887,0.03337921543809759,-0.005683205683205693,0.052199502578505634,0.44444444444444436,36.0,3.0,3
atrialfibrillation,dgw_sameclass,0.22865961199294535,0.08082273973372109,-0.005883622550289208,0.13990266839113366,0.7037037037037036,120.0,10.0,3
atrialfibrillation,rgw_sameclass,0.154023754023754,0.040401838638550826,-0.08051948051948053,0.11867549290119318,0.7037037037037036,120.0,10.0,3
ering,jobda_cleanroom,0.8174483895161818,0.024689134797589152,0.07052698167158537,0.17226354324138018,0.8518518518518517,72.0,3.0,3
ering,rgw_sameclass,0.7790192472345437,0.03482695980267883,0.03209783938994726,0.15885019379441387,0.9259259259259259,240.0,10.0,3
ering,dgw_sameclass,0.7634998369846557,0.04400106912417851,0.01657842914005921,0.17647437235634075,0.9259259259259259,240.0,10.0,3
handmovementdirection,dgw_sameclass,0.3523767140375724,0.011424322889913824,0.14268543946955572,0.03632646817365758,0.41397030537476764,1280.0,10.0,3
handmovementdirection,rgw_sameclass,0.29376164756611434,0.04248384108940589,0.08407037299809765,0.031232386563244147,0.41000529899523713,1280.0,10.0,3
handmovementdirection,jobda_cleanroom,0.2724911858980481,0.01218891233550723,0.0627999113300314,0.025736694756325448,0.32841965133631795,384.0,3.0,3
handwriting,rgw_sameclass,0.42262484110613024,0.07050368680467124,0.02252482341835395,0.07392234968888492,0.3770723104056437,1200.0,10.0,3
handwriting,dgw_sameclass,0.39295454647521394,0.049894943856328075,-0.007145471212562371,0.06541359750589429,0.33362962962962966,1200.0,10.0,3
handwriting,jobda_cleanroom,0.3473087692750821,0.04003067446254937,-0.052791248412694225,0.02983794818182225,0.3691358024691358,360.0,3.0,3
japanesevowels,jobda_cleanroom,0.9807756737412697,0.007803387293271568,0.014624714708890707,0.015903976383590174,0.9937839937839938,648.0,3.0,3
japanesevowels,rgw_sameclass,0.9797545209079518,0.008940850068313324,0.013603561875572953,0.003917664244909997,0.987611154277821,2160.0,10.0,3
japanesevowels,dgw_sameclass,0.9757116817910522,0.0059990915230527415,0.00956072275867322,0.0032067332573930737,0.9937839937839938,2160.0,10.0,3
natops,dgw_sameclass,0.9645900799964927,0.006330352027043618,0.04294754771331647,0.02064269657339727,0.9813519813519814,1440.0,10.0,3
natops,rgw_sameclass,0.9622541572884383,0.014816256000512297,0.04061162500526213,0.00042087880143361486,0.9813519813519814,1440.0,10.0,3
natops,jobda_cleanroom,0.9467579925717398,0.015909727174558855,0.025115460288563558,0.0033781531085270776,0.9813519813519814,432.0,3.0,3
racketsports,rgw_sameclass,0.897202150726015,0.025820897079783005,0.027594651053990837,0.01770069619955142,0.9705201525054467,1200.0,10.0,3
racketsports,jobda_cleanroom,0.876946863392685,0.012675780451550019,0.007339363720660834,0.006734698855405863,0.9600859788359788,360.0,3.0,3
racketsports,dgw_sameclass,0.83500488848698,0.08039219612010516,-0.0346026111850443,0.0918349384215407,0.9509803921568628,1200.0,10.0,3
