dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,method_arm
handmovementdirection,1,success,lraes,resnet1d,act,0.2384428967090257,0.2708766458766458,0.03243374916762,13.602307308358194,21,20,0.5395413410119293,0.4443277310924369,0.0002854420878156,1.1123001775098333e-07,1.079465024214954,0.1406395640255986,0.9999999999899998,0.9899009169526736,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
handmovementdirection,2,success,lraes,resnet1d,act,0.2030680813439434,0.226530339481422,0.0234622581374786,11.553882042081144,17,30,0.3214285714285714,0.4420687134502924,0.0002852322505239,1.1118942033274565e-07,1.0804892407065858,0.1423609668844393,0.9999999999899998,0.987985101412486,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
handmovementdirection,3,success,lraes,resnet1d,act,0.1875628456510809,0.3646049188906332,0.1770420732395522,94.39075112890345,15,19,0.3456896551724138,0.3405448717948718,0.0002853262989962,1.1148232874851002e-07,1.0797474121935775,0.1429578126957263,0.9999999999899998,1.0034452843727362,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
handwriting,1,success,lraes,resnet1d,act,0.382737297846506,0.4742038899957786,0.0914665921492726,23.89800230233958,30,17,0.3055555555555555,0.4638888888888888,0.0001569006299056,0.0003235249376622,1.077593354510213,0.1141811152118165,0.8510652876454485,0.2429830989517447,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
handwriting,2,success,lraes,resnet1d,act,0.4136709560472157,0.4649916094907678,0.0513206534435521,12.406150416695937,30,16,0.3402777777777777,0.45,0.0001568702120391,0.0003197901804965,1.0810531547259026,0.1185549252409642,0.8748595263624505,0.2591882417685239,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
handwriting,3,success,lraes,resnet1d,act,0.4038917991696072,0.4447653411554519,0.0408735419858447,10.11992121403768,30,30,0.3305555555555555,0.4027777777777778,0.0001567976907604,0.0003247928683815,1.0823855295767548,0.1188907133464835,0.8676174643912731,0.2621793509247431,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
natops,1,success,lraes,resnet1d,act,0.9373000436629222,0.9605744860602649,0.0232744423973425,2.483136544329034,18,14,0.972027972027972,0.972027972027972,0.0004448003805933,2.911450802936929,1.2585655866150198,0.3906827302965006,0.9999999999899996,5.820767164174551,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
natops,2,success,lraes,resnet1d,act,0.9070392331641024,0.943206753374148,0.0361675202100455,3.987425780520379,27,14,1.0,0.972027972027972,0.0004454379186965,2.9147068234865112,1.283409877934989,0.4161375327418417,0.9999999999899996,5.7362806886113855,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
natops,3,success,lraes,resnet1d,act,0.920588320022504,0.9777686653301744,0.0571803453076704,6.211282269472028,30,30,0.945887445887446,0.972027972027972,0.0004454719799273,2.9219099731441305,1.2815080049858922,0.4158049085147872,0.9999999999899996,5.643837013582446,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
racketsports,1,success,lraes,resnet1d,act,0.8656212251404092,0.8686114880144731,0.0029902628740638,0.3454469971126068,30,13,0.9409722222222222,0.9388888888888888,0.0002216976891518,0.0001210361425554,1.0985299634432124,0.1537063809872641,0.9999999999899998,2.143864856002683,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,top1_repeated_baseline
