dataset,seed,method,aug_f1,gain,selected_alignment_mean,selected_minus_random_alignment,selected_minus_pca_alignment,top1_alignment_mean,top5_alignment_mean,top5_alignment_std_mean,selected_alignment_rank_within_top5_mean,selected_alignment_minus_top5_mean,template_usage_entropy,top_template_concentration,audit_source,actual_candidate_audit_available
atrialfibrillation,1,csta_top1_current,0.1631701631701631,-0.0532800532800532,0.7131511647965767,0.1677038720529127,0.1479574416222959,0.7131511647965768,0.5737546645263273,0.2445028393735814,2.25,0.1393965002702493,,,policy_replay,False
atrialfibrillation,1,csta_topk_uniform_top5,0.2666666666666666,0.0502164502164502,0.566623322608557,0.0211760298648929,0.0014295994342762,0.7131511647965768,0.5737546645263273,0.2445028393735814,2.333333333333333,-0.0071313419177703,1.6326309271483517,0.3333333333333333,actual_candidate_audit,True
atrialfibrillation,2,csta_top1_current,0.1555555555555555,-0.1649572649572649,0.8368667407660213,0.3389799691663532,0.4513496178143021,0.8368667407660215,0.6681498913431843,0.1409444403474656,2.1666666666666665,0.1687168494228368,,,policy_replay,False
atrialfibrillation,2,csta_topk_uniform_top5,0.1666666666666666,-0.1538461538461538,0.5918169423765589,0.0939301707768908,0.2062998194248397,0.8368667407660215,0.6681498913431843,0.1409444403474656,2.0,-0.0763329489666255,1.7917594692210548,0.3333333333333333,actual_candidate_audit,True
atrialfibrillation,3,csta_top1_current,0.2113997113997114,0.0447330447330447,0.598767240698415,0.1460436610237327,0.1023326906391028,0.598767240698415,0.5187627087726523,0.1784786847765015,2.4166666666666665,0.0800045319257628,,,policy_replay,False
atrialfibrillation,3,csta_topk_uniform_top5,0.3722943722943723,0.2056277056277057,0.4761742013048302,0.0234506216301479,-0.0202603487544819,0.598767240698415,0.5187627087726523,0.1784786847765015,2.6666666666666665,-0.0425885074678219,1.6609474332809178,0.25,actual_candidate_audit,True
ering,1,csta_top1_current,0.7711330092133596,0.2286479533392683,0.1800415699884028,-0.0165467352329293,-0.015791763344343,0.1800415699884027,0.1828894097658659,0.1368594497322815,3.0,-0.0028478397774631,,,policy_replay,False
ering,1,csta_topk_uniform_top5,0.7580623914313596,0.2155773355572683,0.1946629722979104,-0.0019253329234216,-0.0011703610348353,0.1800415699884027,0.1828894097658659,0.1368594497322815,3.25,0.0117735625320445,2.037712826860868,0.2083333333333333,actual_candidate_audit,True
ering,2,csta_top1_current,0.8605644147623157,0.0124589884604476,0.1902838623974182,-0.0042849488147448,0.0069505290646349,0.1902838623974182,0.2031112350114377,0.1350883150484617,3.0,-0.0128273726140194,,,policy_replay,False
ering,2,csta_topk_uniform_top5,0.8671337553903701,0.019028329088502,0.1649253528645101,-0.0296434583476529,-0.0184079804682731,0.1902838623974182,0.2031112350114377,0.1350883150484617,3.2916666666666665,-0.0381858821469276,2.003428294150429,0.2916666666666667,actual_candidate_audit,True
ering,3,csta_top1_current,0.8799985413910164,0.0298248000331862,0.178145165443727,-0.0204398768926291,-0.0135215012223646,0.1781451654437269,0.173374672346835,0.1172872180243096,3.208333333333333,0.0047704930968919,,,policy_replay,False
ering,3,csta_topk_uniform_top5,0.836349387192084,-0.0138243541657462,0.1742110829158331,-0.0243739594205229,-0.0174555837502585,0.1781451654437269,0.173374672346835,0.1172872180243096,3.0,0.0008364105689981,1.9097057700482944,0.2916666666666667,actual_candidate_audit,True
handmovementdirection,1,csta_top1_current,0.2792634996582365,0.0408206029492108,0.2415893733800437,0.1309160257643383,-0.0173982660719156,0.2415893733800437,0.2429226486967972,0.0943311533656954,3.03125,-0.0013332753167534,,,policy_replay,False
handmovementdirection,1,csta_topk_uniform_top5,0.3083036244800951,0.0698607277710693,0.2273854519284656,0.1167121043127602,-0.0316021875234937,0.2415893733800437,0.2429226486967972,0.0943311533656954,3.109375,-0.0155371967683315,2.266119242263424,0.1484375,actual_candidate_audit,True
handmovementdirection,2,csta_top1_current,0.2448107448107448,0.0417426634668013,0.2246630738433001,0.1140780389852193,-0.0257679545352933,0.2246630738433001,0.2325727464615797,0.0862826718160598,3.0625,-0.0079096726182795,,,policy_replay,False
handmovementdirection,2,csta_topk_uniform_top5,0.2571428571428571,0.0540747757989137,0.236713734285369,0.1261286994272882,-0.0137172940932244,0.2246630738433001,0.2325727464615797,0.0862826718160598,2.9765625,0.0041409878237894,2.234776852244379,0.1484375,actual_candidate_audit,True
handmovementdirection,3,csta_top1_current,0.3022830090837565,0.1147201634326756,0.2550960243448171,0.1476633612034096,-0.0046575852190279,0.2550960243448171,0.2407838429155687,0.0956740044970855,2.8203125,0.0143121814292483,,,policy_replay,False
handmovementdirection,3,csta_topk_uniform_top5,0.2517330397071109,0.06417019405603,0.228466131044308,0.1210334679029005,-0.031287478519537,0.2550960243448171,0.2407838429155687,0.0956740044970855,3.1484375,-0.0123177118712606,2.2732306928336934,0.140625,actual_candidate_audit,True
handwriting,1,csta_top1_current,0.486621859042157,0.1038845611956509,0.4432631381223866,0.1420473564351534,0.1781889688012641,0.4432631381223865,0.3257015375207284,0.2296196992098752,2.4107142857142856,0.1175616006016582,,,policy_replay,False
handwriting,1,csta_topk_uniform_top5,0.4692893639142952,0.0865520660677892,0.3390282852087484,0.0378125035215152,0.0739541158876259,0.4432631381223865,0.3257015375207284,0.2296196992098752,2.955357142857143,0.01332674768802,2.219098213268788,0.1583333333333333,actual_candidate_audit,True
handwriting,2,csta_top1_current,0.45790823937512,0.0442372833279042,0.404709990639873,0.095901668117427,0.0848292402708356,0.4047099906398731,0.3660730851155723,0.1976738409812801,2.696428571428572,0.0386369055243008,,,policy_replay,False
handwriting,2,csta_topk_uniform_top5,0.4788160889086109,0.0651451328613951,0.3947954884195752,0.0859871658971291,0.0749147380505377,0.4047099906398731,0.3660730851155723,0.1976738409812801,2.8035714285714284,0.0287224033040029,2.1580509684502043,0.1666666666666666,actual_candidate_audit,True
handwriting,3,csta_top1_current,0.4369454160902133,0.0330536169206061,0.4266978763259824,0.1181822146387679,0.13573631643921,0.4266978763259824,0.3072862210704609,0.1875954287045003,2.232142857142857,0.1194116552555214,,,policy_replay,False
handwriting,3,csta_topk_uniform_top5,0.4560640132267901,0.0521722140571828,0.3068125705600029,-0.0017030911272115,0.0158510106732305,0.4266978763259824,0.3072862210704609,0.1875954287045003,2.9017857142857144,-0.000473650510458,2.1664664038326835,0.1666666666666666,actual_candidate_audit,True
japanesevowels,1,csta_top1_current,0.9815603038063924,0.0254147023297599,0.1394919029730965,0.0630569650389031,-0.0335649724972107,0.1394919029730965,0.1510500687834552,0.065699903297487,3.2916666666666665,-0.0115581658103586,,,policy_replay,False
japanesevowels,1,csta_topk_uniform_top5,0.977748412110884,0.0216028106342516,0.1572375952554487,0.0808026573212553,-0.0158192802148585,0.1394919029730965,0.1510500687834552,0.065699903297487,2.8703703703703702,0.0061875264719935,2.2808997157194475,0.1527777777777778,actual_candidate_audit,True
japanesevowels,2,csta_top1_current,0.9702930483850692,-0.0038545545657421,0.135377723086967,0.0594347982637788,-0.0412018401772012,0.135377723086967,0.1461565682025461,0.0642159946901097,3.189814814814815,-0.0107788451155791,,,policy_replay,False
japanesevowels,2,csta_topk_uniform_top5,0.9720074904623128,-0.0021401124884985,0.1370694285337302,0.061126503710542,-0.039510134730438,0.135377723086967,0.1461565682025461,0.0642159946901097,3.199074074074074,-0.0090871396688159,2.2579419741768376,0.1527777777777778,actual_candidate_audit,True
japanesevowels,3,csta_top1_current,0.9596290379699084,-0.0085306346997844,0.1232027613331028,0.047262781190179,-0.0514817637887678,0.1232027613331028,0.143488437884608,0.068408061328612,3.462962962962963,-0.0202856765515052,,,policy_replay,False
japanesevowels,3,csta_topk_uniform_top5,0.9858464973490269,0.017686824679334,0.1439060672548735,0.0679660871119497,-0.030778457866997,0.1232027613331028,0.143488437884608,0.068408061328612,2.962962962962963,0.0004176293702655,2.275338940407792,0.1481481481481481,actual_candidate_audit,True
natops,1,csta_top1_current,0.9608391608391608,0.0235391171762385,0.0838414786909749,0.0637076312469973,-0.0641734613899669,0.0838414786909749,0.0936900822996626,0.0475058460434863,3.1319444444444446,-0.0098486036086876,,,policy_replay,False
natops,1,csta_topk_uniform_top5,0.966476799110864,0.0291767554479418,0.0923705251520371,0.0722366777080595,-0.0556444149289047,0.0838414786909749,0.0936900822996626,0.0475058460434863,3.013888888888889,-0.0013195571476254,2.160811559321453,0.1875,actual_candidate_audit,True
natops,2,csta_top1_current,0.9604946174708764,0.0534553843067739,0.076531421335161,0.0562760336992999,-0.0733032616266134,0.076531421335161,0.0739015736235937,0.0392054366124892,2.888888888888889,0.0026298477115673,,,policy_replay,False
natops,2,csta_topk_uniform_top5,0.96107248923737,0.0540332560732675,0.0789844234426577,0.0587290358067965,-0.0708502595191167,0.076531421335161,0.0739015736235937,0.0392054366124892,2.895833333333333,0.0050828498190639,2.1789852033783856,0.1944444444444444,actual_candidate_audit,True
natops,3,csta_top1_current,0.9610222820054012,0.0404339619828971,0.1189117869636119,0.0987411694195281,-0.0272636160996155,0.1189117869636119,0.1010600795877177,0.0533529166721195,2.6597222222222223,0.0178517073758941,,,policy_replay,False
natops,3,csta_topk_uniform_top5,0.9550596329553824,0.0344713129328784,0.10101082993612,0.0808402123920363,-0.0451645731271073,0.1189117869636119,0.1010600795877177,0.0533529166721195,3.0347222222222223,-4.924965159768535e-05,2.1859164585147184,0.1736111111111111,actual_candidate_audit,True
racketsports,1,csta_top1_current,0.8899359908344853,0.024314765694076,0.3131420393219724,0.0803002639596235,-0.0084516510236449,0.3131420393219724,0.3044286300784846,0.1406084137162717,3.0083333333333333,0.0087134092434877,,,policy_replay,False
racketsports,1,csta_topk_uniform_top5,0.8836541979147613,0.0180329727743521,0.3075435159602876,0.0747017405979388,-0.0140501743853296,0.3131420393219724,0.3044286300784846,0.1406084137162717,2.975,0.003114885881803,2.275203377551117,0.1583333333333333,actual_candidate_audit,True
racketsports,2,csta_top1_current,0.877184664584263,0.0183552995048978,0.3244712439724564,0.0896859956072467,0.0058295298701251,0.3244712439724565,0.3110004195666829,0.1444429327656285,2.908333333333333,0.0134708244057735,,,policy_replay,False
racketsports,2,csta_topk_uniform_top5,0.88329945799458,0.0244700929152148,0.3096600656743225,0.0748748173091127,-0.0089816484280088,0.3244712439724565,0.3110004195666829,0.1444429327656285,3.058333333333333,-0.0013403538923603,2.265079715684917,0.1416666666666666,actual_candidate_audit,True
racketsports,3,csta_top1_current,0.8491959064327486,-0.0351760023635496,0.3677903376523364,0.1433835422031246,0.0525958732936958,0.3677903376523365,0.3218251798966018,0.1438627403003093,2.691666666666667,0.0459651577557345,,,policy_replay,False
racketsports,3,csta_topk_uniform_top5,0.8963906898179199,0.0120187810216216,0.3250214272183945,0.1006146317691827,0.0098269628597539,0.3677903376523365,0.3218251798966018,0.1438627403003093,3.083333333333333,0.0031962473217927,2.256838815377447,0.15,actual_candidate_audit,True
