dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,effective_k_dir_zpia,u_perp_norm_ratio_mean,u_perp_zero_rate,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,method_arm,fail_reason
handmovementdirection,1,success,zpia_top1_pool,resnet1d,act,0.2384428967090257,0.2585365853658536,0.0200936886568279,8.427040816530436,21.0,30.0,0.5395413410119293,0.4486336032388663,0.0002854318699091,1.1122811474990897e-07,1.0850516592631991,0.1472123938499621,0.2067349553783516,0.9899009169526736,-0.0107466587796807,0.515625,1280.0,1280.0,10,10,0.0,2.232473697190977,0.1328125,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,55.0,128.0,False,1.0,1.0,1.0,0.0,0.7521657954824004,0.7547584640415349,0.0132217261575631,csta_top1_repeated,
handmovementdirection,2,success,zpia_top1_pool,resnet1d,act,0.2030680813439434,0.2641749559776704,0.0611068746337269,30.09180179253597,17.0,30.0,0.3214285714285714,0.4587662337662337,0.0002853983111696,1.1119373830438637e-07,1.083471426857979,0.1452377102547179,0.2076197129816096,0.987985101412486,-0.0008899889071471,0.49609375,1280.0,1280.0,10,10,0.0,2.1051171990098525,0.1953125,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,55.0,128.0,False,1.0,1.0,1.0,0.0,0.7594804272123965,0.761819704350053,0.0119107333957204,csta_top1_repeated,
handmovementdirection,3,success,zpia_top1_pool,resnet1d,act,0.1875628456510809,0.3046371582859153,0.1170743126348343,62.41867882189536,15.0,20.0,0.3456896551724138,0.3116071428571428,0.000285380869037,1.1148474333705245e-07,1.0820663244594708,0.1440518780929042,0.2037342308608467,1.0034452843727364,-0.0016111799050122,0.48828125,1280.0,1280.0,10,10,0.0,2.138815696335292,0.2578125,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,55.0,128.0,False,1.0,1.0,1.0,0.0,0.7623051847260964,0.7644649575641655,0.0116461000250424,csta_top1_repeated,
racketsports,1,success,zpia_top1_pool,resnet1d,act,0.8656212251404092,0.8840267095656068,0.0184054844251976,2.126274375485394,30.0,30.0,0.9409722222222222,0.9686274509803922,0.0002216588289726,0.0001210326529788,1.09879276630279,0.1565561595203299,0.0982861652156449,2.1438648560026827,-0.0261333845555782,0.5166666666666667,1200.0,1200.0,10,10,0.0,2.246311023933396,0.1666666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6439876728442867,0.6505309066490541,0.0133635817838723,csta_top1_repeated,
racketsports,2,success,zpia_top1_pool,resnet1d,act,0.8588293650793651,0.877184664584263,0.0183552995048978,2.137246129905623,30.0,27.0,0.9701754385964912,1.0,0.0002216316736303,0.0001339494145764,1.0969260751284684,0.1551145270236305,0.0971920335187624,2.169316663145023,-0.0271502491086721,0.5166666666666667,1200.0,1200.0,10,10,0.0,2.1062779816993635,0.225,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6409920133104581,0.6446748194233678,0.0161542688599673,csta_top1_repeated,
racketsports,3,success,zpia_top1_pool,resnet1d,act,0.8843719087962982,0.8506455399061033,-0.0337263688901949,-3.813595246654097,30.0,13.0,0.9705882352941176,0.9409722222222222,0.0002216196947309,0.0001230420327564,1.0974657743256249,0.1544512212983493,0.0982568416844038,2.1508125271014964,-0.0189507510513067,0.5083333333333333,1200.0,1200.0,10,10,0.0,2.1184763181059685,0.2166666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6390133560120386,0.640681388461378,0.013002536628967,csta_top1_repeated,
handwriting,1,success,zpia_top1_pool,resnet1d,act,0.382737297846506,0.4864602718659126,0.1037229740194066,27.100297646117127,30.0,17.0,0.3055555555555555,0.3946666666666666,0.0001568178425296,0.0003234287646319,1.0770013038801058,0.1133605654542269,0.8382226651759368,0.2429830989517447,-0.0398764014244079,0.5416666666666666,1200.0,1200.0,10,10,0.0,1.7244544304389924,0.3,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,6.0,120.0,False,1.0,1.0,1.0,0.0,0.7453685192797045,0.7444455584581675,0.002264257482999,csta_top1_repeated,
handwriting,2,success,zpia_top1_pool,resnet1d,act,0.4136709560472157,0.4811723709210144,0.0675014148737986,16.31765478561647,30.0,23.0,0.3402777777777777,0.4826666666666666,0.0001568812886478,0.0003197616935353,1.0800231988583788,0.1174798412235179,0.8175676060573672,0.2591882417685238,-0.0492915771901607,0.5625,1200.0,1200.0,10,10,0.0,1.7302490774189403,0.2916666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,6.0,120.0,False,1.0,1.0,1.0,0.0,0.7552577188516096,0.7538034710311421,0.0025632709193199,csta_top1_repeated,
handwriting,3,success,zpia_top1_pool,resnet1d,act,0.4038917991696072,0.4455932625491924,0.0417014633795851,10.324907101460186,30.0,15.0,0.3305555555555555,0.3319444444444444,0.0001568681283184,0.0003247023050815,1.077798552956881,0.1164687388707521,0.8099734855342056,0.2621793509247431,-0.0546931587159633,0.5875,1200.0,1200.0,10,10,0.0,1.7246552098925076,0.35,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,6.0,120.0,False,1.0,1.0000000000000002,1.0,0.0,0.7505251104427254,0.7490490656463976,0.0034144444333813,csta_top1_repeated,
natops,1,success,zpia_top1_pool,resnet1d,act,0.9373000436629222,0.9601036657949744,0.0228036221320521,2.432905007667736,18.0,17.0,0.972027972027972,0.972027972027972,0.0004472896519147,2.911503125762369,1.3589759004687896,0.499419906760514,0.0361466770753385,5.82076716417455,-0.0024527900386601,0.5,1440.0,1440.0,10,10,0.0,1.2082755326541423,0.5208333333333334,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,300.0,144.0,True,1.0,1.0,1.0,0.0,0.7413955341463061,0.757840911898841,0.0115851800505578,csta_top1_repeated,
