dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
basicmotions,1,csta_topk_uniform_top5,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.442257069051266,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002221141606852,0.0074618910881247,1.116787344030762,0.1826578524364944,0.0320919450261445,4.41428878572931,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,320,320,10,10,0.0,2.03094656148457,0.1875,1.0,320,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/basicmotions/s1/candidate_audit/basicmotions_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000002572534,2.0261996631670707,0.0999999999999999,0.0999999999999999,0.0320919450261445,0.0,0.0,4.41428878572931,0.0074618910881247,2.03094656148457,0.1875,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,32,False,1.0,1.0,1.0,0,0.540196047608251,0.4930399356430594,0.0372474138818418,2.03094656148457
basicmotions,2,csta_topk_uniform_top5,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.501806957065128,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002221720475221,0.0087732848109693,1.1211222826849614,0.1856068106313389,0.0315775020378357,4.578642753667057,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,320,320,10,10,0.0,2.000000443988584,0.21875,1.0,320,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/basicmotions/s2/candidate_audit/basicmotions_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000001535419,1.9766050493116532,0.0999999999999999,0.0999999999999999,0.0315775020378357,0.0,0.0,4.578642753667057,0.0087732848109693,2.000000443988584,0.21875,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,32,False,1.0,1.0,1.0,0,0.4907254762851415,0.5039172359153512,0.0312698157323367,2.000000443988584
basicmotions,3,csta_topk_uniform_top5,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.633068460971117,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000222193898824,0.0084524622088497,1.116300609878582,0.1854180090841444,0.0318447305373617,4.503179782069605,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,320,320,10,10,0.0,1.9633773726064403,0.28125,1.0,320,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/basicmotions/s3/candidate_audit/basicmotions_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000006102108,1.9518877237676004,0.0999999999999999,0.0999999999999999,0.0318447305373617,0.0,0.0,4.503179782069605,0.0084524622088497,1.9633773726064403,0.28125,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,32,False,1.0,1.0,1.0,0,0.4695773482298053,0.4813339310702889,0.0336585279639948,1.9633773726064403
ethanolconcentration,1,csta_topk_uniform_top5,success,,0.25302243628668,0.2418378080544981,-0.011184628232181887,2080,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.4756294471811713,14,0,0,23.118816952919587,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001681002574129,5.430153723548956e-09,1.2922032555303156,0.3673345575968721,0.1319636663944972,1.1657439665283205,0.1,0.1,0.0,0.0,0.0,2080,2080,10,10,0.0,2.2483013683736206,0.173076923076923,1.0,2080,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/ethanolconcentration/s1/candidate_audit/ethanolconcentration_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999993860921,1.347702867735726,0.1,0.1,0.1319636663944972,0.0,0.0,1.1657439665283205,5.430153723548956e-09,2.2483013683736206,0.173076923076923,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,208,False,1.0,1.0,1.0,0,0.5357072847259075,0.5215357822534553,0.0263817718848728,2.2483013683736206
ethanolconcentration,2,csta_topk_uniform_top5,success,,0.2957462456440558,0.2992286845945383,0.003482438950482447,2080,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.3787179487179487,20,0,0,28.463392161997035,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001643009125875,5.5963055145115495e-09,1.2362881804513302,0.3057605700477056,0.1243083167784143,1.201093150184524,0.1,0.1,0.0,0.0,0.0,2080,2080,10,10,0.0,2.2502456092531307,0.1538461538461538,1.0,2080,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/ethanolconcentration/s2/candidate_audit/ethanolconcentration_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000002786565,1.4412674368867873,0.1,0.1,0.1243083167784143,0.0,0.0,1.201093150184524,5.5963055145115495e-09,2.2502456092531307,0.1538461538461538,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,208,False,1.0,1.0,1.0,0,0.5135199340873575,0.5488869480292387,0.0254997075520704,2.2502456092531307
ethanolconcentration,3,csta_topk_uniform_top5,success,,0.2886924033855482,0.2815724764524464,-0.007119926933101817,2080,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.3677220480668756,18,0,0,27.42446332902182,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001659650463797,5.791663300165952e-09,1.2671533511315691,0.3389871341358345,0.1266062652869627,1.1897868017586049,0.1,0.1,0.0,0.0,0.0,2080,2080,10,10,0.0,2.2632304904171736,0.1442307692307692,1.0,2080,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/ethanolconcentration/s3/candidate_audit/ethanolconcentration_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000003669691,1.3544305296754706,0.1,0.1,0.1266062652869627,0.0,0.0,1.1897868017586049,5.791663300165952e-09,2.2632304904171736,0.1442307692307692,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,208,False,1.0,1.0,1.0,0,0.5717223370571013,0.5698760791894338,0.0321924542023286,2.2632304904171736
har,1,csta_topk_uniform_top5,success,,0.9355290262377642,0.9508147535274212,0.015285727289656936,58810,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.998118379401206,30,0,0,181.53223033202812,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002712371729615,2.95332996479725,1.0951368849092376,0.1647721690219969,0.1849475890058258,1.22189579344175,0.1,0.0998315400007152,0.0,0.0,0.0,58810,58810,10,10,0.0120727767386498,1.9406667737088623,0.1974154055432749,1.0,58810,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/har/s1/candidate_audit/har_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0998315393233631,2.8202160958793043,0.1,0.0998315400007152,0.1849475890058258,0.0120727767386498,0.0,1.22189579344175,2.95332996479725,1.9406667737088623,0.1974154055432749,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,45,5881,False,0.9999999999999998,1.0,1.0,0,0.5481176734634684,0.5453280743081682,0.0172601173069444,1.9406667737088623
har,2,csta_topk_uniform_top5,success,,0.934283916923308,0.9578174162272852,0.02353349930397719,58810,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.9987454309633298,30,0,0,181.60497368499637,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000271495719985,2.95311158337233,1.1051870613963966,0.1803614811221377,0.1844640545568832,1.2225869306683654,0.1,0.0998597857290631,0.0,0.0,0.0,58810,58810,10,10,0.0105424247576942,1.9880973075557729,0.1969052882162897,1.0,58810,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/har/s2/candidate_audit/har_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0998597856982231,2.728728188541952,0.1,0.0998597857290631,0.1844640545568832,0.0105424247576942,0.0,1.2225869306683654,2.95311158337233,1.9880973075557729,0.1969052882162897,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,45,5881,False,1.0,1.0,1.0,0,0.5466493036747552,0.5422104958906978,0.0180223546809868,1.9880973075557729
har,3,csta_topk_uniform_top5,success,,0.9348718872533844,0.9574753499928174,0.022603462739432922,58810,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.9962362928899894,30,0,0,183.06843395903707,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002713333831982,2.9528578979709645,1.1017587811238896,0.1725514439878843,0.1843822047136466,1.2285843936244951,0.1,0.0998406729247544,0.0,0.0,0.0,58810,58810,10,10,0.0117326985206597,1.8871287035535085,0.1972453664342799,1.0,58810,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/har/s3/candidate_audit/har_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0998406728998899,2.365230122839306,0.1,0.0998406729247544,0.1843822047136466,0.0117326985206597,0.0,1.2285843936244951,2.9528578979709645,1.8871287035535085,0.1972453664342799,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,45,5881,False,1.0,1.0,1.0,0,0.5349628221917697,0.5497570966656141,0.0174591325826717,1.8871287035535085
motorimagery,1,csta_topk_uniform_top5,success,,0.4025735294117647,0.3710691823899371,-0.03150434702182764,2220,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5881036136872402,23,0,0,112.3009727949975,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0007205366228242,0.0001057293005477,1.0910116933025975,0.1857237416263039,0.0229766637949532,5.862721856485458,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,2220,2220,10,10,0.0,2.2633705888622044,0.1576576576576576,1.0,2220,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/motorimagery/s1/candidate_audit/motorimagery_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000000409838,1.4520403780452686,0.0999999999999999,0.0999999999999999,0.0229766637949532,0.0,0.0,5.862721856485458,0.0001057293005477,2.2633705888622044,0.1576576576576576,response_only,topk_uniform_top5,1.0,1.0,0,0,0,0,0,0,0,0,,,,,,1.0,1.0,,,,,,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,2080,222,True,1.0,1.0,1.0,0,0.8356875008851016,0.8399157128239897,0.0107381054324327,2.2633705888622044
