dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
articularywordrecognition,1,csta_topk_uniform_top5,success,,0.9730638636725591,0.9867665551839464,0.0137026915113872,2200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.9786666666666668,30,0,0,11.373657962016296,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.00027191408166,0.0271082759096673,1.132930453325192,0.2137453404311253,0.0347846124168703,3.913112969333946,0.0999999999999999,0.0,0.0,0.0,0.0,2200,2200,10,10,0.0,2.2913842454070936,0.1272727272727272,1.0,2200,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5/articularywordrecognition/s1/candidate_audit/articularywordrecognition_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000002031212,1.2925293666995326,0.0999999999999999,0.0999999999999999,0.0347846124168703,0.0,0.0,3.913112969333946,0.0271082759096673,2.2913842454070936,0.1272727272727272,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,45,220,False,1.0,1.0,1.0,0,0.684195344601643,0.6875244013785357,0.0193680921161213,2.2913842454070936
articularywordrecognition,2,csta_topk_uniform_top5,success,,0.952954070084505,0.9764847481021394,0.0235306780176344,2200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.9662857142857144,29,0,0,10.646361735009124,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002718387863432,0.0258813047801524,1.1290375344663883,0.2104218377999679,0.0342987106166936,3.9518871108025633,0.0999999999999999,0.0,0.0,0.0,0.0,2200,2200,10,10,0.0,2.2515077492595483,0.1227272727272727,1.0,2200,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5/articularywordrecognition/s2/candidate_audit/articularywordrecognition_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000001225725,1.309903441352011,0.0999999999999999,0.0999999999999999,0.0342987106166936,0.0,0.0,3.9518871108025633,0.0258813047801524,2.2515077492595483,0.1227272727272727,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,45,220,False,1.0,1.0,1.0,0,0.6836273135963726,0.6877027933279468,0.0165023678415798,2.2515077492595483
articularywordrecognition,3,csta_topk_uniform_top5,success,,0.9633028826246216,0.9760612411742846,0.012758358549663,2200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,10.82631777197821,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002718418566238,0.0262025559585915,1.1277198941918587,0.2103176334609148,0.0344274674696277,3.9383159923706974,0.0999999999999999,0.0,0.0,0.0,0.0,2200,2200,10,10,0.0,2.265482162293999,0.1545454545454545,1.0,2200,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5/articularywordrecognition/s3/candidate_audit/articularywordrecognition_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999998692756,1.3230893951026286,0.0999999999999999,0.0999999999999999,0.0344274674696277,0.0,0.0,3.9383159923706974,0.0262025559585915,2.265482162293999,0.1545454545454545,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,45,220,False,1.0,1.0,1.0,0,0.6831837497644455,0.6910782037319378,0.0135389181988973,2.265482162293999
atrialfibrillation,1,csta_topk_uniform_top5,success,,0.2164502164502164,0.2666666666666666,0.0502164502164502,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5555555555555555,19,0,0,5.001933412975632,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001282294500337,0.0270561520931879,1.0722887506504823,0.1087524052987783,0.1814713978859785,1.0436398830928968,0.1,0.0,0.0,0.0,0.0,120,120,10,10,0.0,1.6326309271483517,0.3333333333333333,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999989632056,0.7712366194835014,0.1,0.1,0.1814713978859785,0.0,0.0,1.0436398830928968,0.0270561520931879,1.6326309271483517,0.3333333333333333,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,3,12,False,1.0,1.0,1.0,0,0.2550371083690743,0.2867997950590593,0.0662662563935412,1.6326309271483517
atrialfibrillation,2,csta_topk_uniform_top5,success,,0.3205128205128205,0.1666666666666666,-0.1538461538461538,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.5555555555555555,30,0,0,5.172576316981576,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001281129918173,0.0332052420473859,1.0520823055770174,0.1128198144153842,0.175454993133616,1.033774431547862,0.1,0.0,0.0,0.0,0.0,120,120,10,10,0.0,1.7917594692210548,0.3333333333333333,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999994370321,0.7209085493585774,0.1,0.1,0.175454993133616,0.0,0.0,1.033774431547862,0.0332052420473859,1.7917594692210548,0.3333333333333333,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,3,12,False,1.0,1.0,1.0,0,0.3592279026832697,0.3777094475231055,0.043015200500775,1.7917594692210548
atrialfibrillation,3,csta_topk_uniform_top5,success,,0.1666666666666666,0.3722943722943723,0.2056277056277057,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,15,0,0,4.972632519027684,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001282920427136,0.0323903005745582,1.0727612539847746,0.1144052453030838,0.1818866760609054,0.8437962467856865,0.1,0.0,0.0,0.0,0.0,120,120,10,10,0.0,1.6609474332809178,0.25,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000010994191,0.7053551739904176,0.1,0.1,0.1818866760609054,0.0,0.0,0.8437962467856865,0.0323903005745582,1.6609474332809178,0.25,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,3,12,False,1.0,1.0,1.0,0,0.2480053213535128,0.2473399434098298,0.0043627584516276,1.6609474332809178
basicmotions,1,csta_topk_uniform_top5,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.812494689016603,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002221141606852,0.0074618910881247,1.116787344030762,0.1826578524364944,0.0320919450261445,4.41428878572931,0.0999999999999999,0.0,0.0,0.0,0.0,320,320,10,10,0.0,2.03094656148457,0.1875,1.0,320,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/basicmotions/s1/candidate_audit/basicmotions_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000002572534,2.0261996631670707,0.0999999999999999,0.0999999999999999,0.0320919450261445,0.0,0.0,4.41428878572931,0.0074618910881247,2.03094656148457,0.1875,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,32,False,1.0,1.0,1.0,0,0.540196047608251,0.4930399356430594,0.0372474138818418,2.03094656148457
basicmotions,2,csta_topk_uniform_top5,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.489735652983654,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002221720475221,0.0087732848109693,1.1211222826849614,0.1856068106313389,0.0315775020378357,4.578642753667057,0.0999999999999999,0.0,0.0,0.0,0.0,320,320,10,10,0.0,2.000000443988584,0.21875,1.0,320,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/basicmotions/s2/candidate_audit/basicmotions_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000001535419,1.9766050493116527,0.0999999999999999,0.0999999999999999,0.0315775020378357,0.0,0.0,4.578642753667057,0.0087732848109693,2.000000443988584,0.21875,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,32,False,1.0,1.0,1.0,0,0.4907254762851415,0.5039172359153512,0.0312698157323367,2.000000443988584
basicmotions,3,csta_topk_uniform_top5,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.521780723007396,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000222193898824,0.0084524622088497,1.116300609878582,0.1854180090841444,0.0318447305373617,4.503179782069605,0.0999999999999999,0.0,0.0,0.0,0.0,320,320,10,10,0.0,1.9633773726064403,0.28125,1.0,320,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/basicmotions/s3/candidate_audit/basicmotions_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000006102108,1.9518877237676004,0.0999999999999999,0.0999999999999999,0.0318447305373617,0.0,0.0,4.503179782069605,0.0084524622088497,1.9633773726064403,0.28125,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,32,False,1.0,1.0,1.0,0,0.4695773482298053,0.4813339310702889,0.0336585279639948,1.9633773726064403
cricket,1,csta_topk_uniform_top5,success,,0.9860139860139862,0.972027972027972,-0.0139860139860141,860,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,14.250970216002315,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002217053765745,0.0130711247628724,1.095995551805896,0.1569632765531075,0.0713112643100145,2.0181944374140146,0.1,0.0,0.0,0.0,0.0,860,860,10,10,0.0,2.113463829762273,0.2209302325581395,1.0,860,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard3/_csta_runs/csta_topk_uniform_top5/cricket/s1/candidate_audit/cricket_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000000126148,1.2188178329390866,0.1,0.1,0.0713112643100145,0.0,0.0,2.0181944374140146,0.0130711247628724,2.113463829762273,0.2209302325581395,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,86,False,1.0,1.0,1.0,0,0.4001019188324796,0.4069355645834173,0.0187108211623632,2.113463829762273
