method,display_name,family,n_datasets,n_seed_runs,mean_f1_over_datasets,mean_gain_vs_no_aug,mean_rank,win_count,delta_vs_csta_uniform_top5,win_count_vs_csta_uniform_top5
wdba_sameclass,wDBA,DTW synthesis,7,21,0.6679222249312299,0.046685521269629264,10.714285714285714,2,0.002680420456259301,3
csta_topk_uniform_top5,CSTA-PIA UniformTop5,CSTA/PIA,7,21,0.6652418044749704,0.04400510081336998,7.285714285714286,0,0.0,0
dba_sameclass,DBA,DTW synthesis,7,21,0.6633089519049827,0.04207224824338222,8.285714285714286,0,-0.0019328525699877721,3
raw_aug_jitter,RawAug-Jitter,Raw-time,7,21,0.6616569891263591,0.0404202854647586,7.285714285714286,1,-0.0035848153486114165,4
raw_aug_timewarp,RawAug-TimeWarp,Raw-time,7,21,0.6608610404012091,0.03962433673960852,9.0,0,-0.0043807640737614706,2
spawner_sameclass_style,SPAWNER-style,DTW synthesis,7,21,0.6608128472973603,0.03957614363575975,8.142857142857142,0,-0.004428957177610228,3
raw_aug_window_slicing,Window Slicing,Raw-time,7,21,0.6592485456870067,0.038011842025406396,8.428571428571429,0,-0.0059932587879636045,2
csta_top1_current,CSTA Top1,CSTA/PIA,7,21,0.6504671036133646,0.029230399951764026,11.857142857142858,0,-0.014774700861605927,2
random_cov_state,Random Cov-State,Cov-state control,7,21,0.6481301127637586,0.02689340910215814,9.714285714285714,1,-0.01711169171121185,2
pca_cov_state,PCA Cov-State,Cov-state control,7,21,0.6470301977697014,0.025793494108101,11.571428571428571,1,-0.018211606705269032,2
csta_fv_score_top5,CSTA FV-Score Top5,CSTA selector,7,21,0.6460455906714175,0.024808887009817003,10.857142857142858,0,-0.019196213803552985,3
raw_aug_magnitude_warping,Magnitude Warping,Raw-time,7,21,0.6451996854142933,0.02396298175269282,13.142857142857142,0,-0.020042119060677148,1
dgw_sameclass,DGW,DTW guided warp,7,21,0.6446853371092731,0.02344863344767267,12.714285714285714,0,-0.020556467365697325,2
rgw_sameclass,RGW,DTW guided warp,7,21,0.6412343312647069,0.019997627603106288,10.571428571428571,0,-0.02400747321026372,4
csta_group_template_top,CSTA GroupTop,CSTA/PIA,7,21,0.640786282166905,0.019549578505304477,12.428571428571429,1,-0.024455522308065504,3
csta_random_feasible_selector,CSTA Random Feasible,CSTA selector,7,21,0.6405168366406871,0.019280132979086595,14.214285714285714,0,-0.024724967834283403,1
csta_fv_filter_top5,CSTA FV-Filter Top5,CSTA selector,7,21,0.6405168366406871,0.019280132979086595,14.214285714285714,0,-0.024724967834283403,1
jobda_cleanroom,JobDA-cleanroom,Supervised raw aug,7,21,0.6386555576078622,0.0174188539462617,13.142857142857142,0,-0.026586246867108306,2
raw_aug_window_warping,Window Warping,Raw-time,7,21,0.6300960695469777,0.00885936588537718,14.714285714285714,0,-0.03514573492799283,2
raw_aug_scaling,RawAug-Scaling,Raw-time,7,21,0.6274711300259364,0.0062344263643358405,15.857142857142858,0,-0.037770674449034196,1
raw_smote_flatten_balanced,Raw-SMOTE,Flattened raw,7,21,0.6228572366008869,0.001620532939286462,18.785714285714285,0,-0.0423845678740836,0
raw_mixup,Raw-Mixup,Vicinal raw,7,21,0.6215713496243737,0.00033464596277326634,14.571428571428571,1,-0.04367045485059675,1
no_aug,No Aug,Control,7,21,0.6212367036616004,0.0,18.5,0,-0.04400510081337007,0
