dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
atrialfibrillation,1,csta_fv_score_top5,success,,0.2164502164502164,0.1631701631701631,-0.05328005328005328,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.5555555555555555,30,0,0,5.740990735008381,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001290929757256,0.0270224085416523,1.0619622823275474,0.1145291595351317,0.1814713994929888,1.0436398830928968,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,2.060446031515706,0.2583333333333333,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/atrialfibrillation/s1/candidate_audit/atrialfibrillation_s1_csta_fv_score_top5_candidate_audit.csv.gz,0.0999999998266007,1.0918066815851972,0.1,0.1,0.1814713994929888,0.0,0.0,1.0436398830928968,0.0270224085416523,2.060446031515706,0.2583333333333333,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.6990766107149328,0.4852778937558124,1.1843545044707453,0.7398979130644683,1.5543034610029796,1.0,1.0,0.6990766107149328,0.4852778937558124,1.1843545044707453,0.7398979130644683,1.5543034610029796,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,3,12,False,1.0,1.0,1.0,0,0.2550371083690743,0.2867997950590593,0.0662662563935412,2.060446031515706
atrialfibrillation,2,csta_fv_score_top5,success,,0.3205128205128205,0.1619047619047619,-0.15860805860805857,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,1.0,30,0,0,5.392105108010583,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001296803696259,0.0332635456454146,1.0407689395253823,0.105139422226403,0.1754549943084407,1.033774431547862,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.8995616558410264,0.3583333333333333,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/atrialfibrillation/s2/candidate_audit/atrialfibrillation_s2_csta_fv_score_top5_candidate_audit.csv.gz,0.1000000001226848,0.9462122871790294,0.1,0.1,0.1754549943084407,0.0,0.0,1.033774431547862,0.0332635456454146,1.8995616558410264,0.3583333333333333,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.4923577454623732,0.4578694275916536,0.9502271730540268,0.7956165709965978,1.3480354585523258,1.0,1.0,0.4923577454623732,0.4578694275916536,0.9502271730540268,0.7956165709965978,1.3480354585523258,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,3,12,False,1.0,1.0,1.0,0,0.3592279026832697,0.3777094475231055,0.043015200500775,1.8995616558410264
atrialfibrillation,3,csta_fv_score_top5,success,,0.1666666666666666,0.1185185185185185,-0.04814814814814811,120,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.5555555555555555,30,0,0,5.4937675860128365,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001291578324854,0.0324777799615238,1.0662802746237774,0.1153955519344526,0.1818866769770655,0.8437962467856865,0.1,0.1,0.0,0.0,0.0,120,120,10,10,0.0,1.9124775093868276,0.325,1.0,120,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/atrialfibrillation/s3/candidate_audit/atrialfibrillation_s3_csta_fv_score_top5_candidate_audit.csv.gz,0.100000001514526,0.8096670456644699,0.1,0.1,0.1818866769770655,0.0,0.0,0.8437962467856865,0.0324777799615238,1.9124775093868276,0.325,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.6090139454518512,0.5965564048476469,1.2055703502994983,0.749932695112634,1.580536697855815,1.0,1.0,0.6090139454518512,0.5965564048476469,1.2055703502994983,0.749932695112634,1.580536697855815,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,3,12,False,1.0,1.0,1.0,0,0.2480053213535128,0.2473399434098298,0.0043627584516276,1.9124775093868276
ering,1,csta_fv_score_top5,success,,0.5424850558740912,0.8335191157506819,0.2910340598765907,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.7777777777777777,27,0,0,5.30981788696954,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812069778423,0.0013158530560883,1.096504304359011,0.1458603751108661,0.1423919307358151,1.0850636769840405,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,2.110998610823446,0.2708333333333333,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/ering/s1/candidate_audit/ering_s1_csta_fv_score_top5_candidate_audit.csv.gz,0.0999999999615821,0.6394761643555393,0.1,0.1,0.1423919307358151,0.0,0.0,1.0850636769840405,0.0013158530560883,2.110998610823446,0.2708333333333333,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.6080935412359627,0.6554626541047495,1.2635561953407122,0.6499132928745226,1.5885128417779737,1.0,1.0,0.6080935412359627,0.6554626541047495,1.2635561953407122,0.6499132928745226,1.5885128417779737,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,10,24,False,1.0,1.0,1.0,0,0.323908626804241,0.3384924606380963,0.0053674422524026,2.110998610823446
ering,2,csta_fv_score_top5,success,,0.848105426301868,0.8206605477469768,-0.027444878554891194,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,1.0,30,0,0,5.426776928012259,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001816595217911,0.0013009337224365,1.090245006367471,0.1386564990829431,0.146937672881418,1.0484200830955133,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,2.108838199864221,0.2291666666666666,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/ering/s2/candidate_audit/ering_s2_csta_fv_score_top5_candidate_audit.csv.gz,0.1000000000560192,0.704515397356204,0.1,0.1,0.146937672881418,0.0,0.0,1.0484200830955133,0.0013009337224365,2.108838199864221,0.2291666666666666,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.588409149969083,0.6802071790167322,1.2686163289858152,0.6486178499385978,1.5929252539551144,1.0,1.0,0.588409149969083,0.6802071790167322,1.2686163289858152,0.6486178499385978,1.5929252539551144,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,10,24,False,1.0,1.0,1.0,0,0.3222339555125668,0.3261402467539024,0.0143436075719679,2.108838199864221
ering,3,csta_fv_score_top5,success,,0.8501737413578302,0.8893856496053831,0.03921190824755294,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,1.0,22,0,0,5.644027884991374,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001810523287236,0.0013517346918084,1.0907581605228027,0.1376097689224259,0.1431906755572188,1.0999095086492523,0.1,0.1,0.0,0.0,0.0,240,240,10,10,0.0,2.075076277876469,0.2708333333333333,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/ering/s3/candidate_audit/ering_s3_csta_fv_score_top5_candidate_audit.csv.gz,0.1000000006265976,0.7112273114266351,0.1,0.1,0.1431906755572188,0.0,0.0,1.0999095086492523,0.0013517346918084,2.075076277876469,0.2708333333333333,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.6688806691385716,0.7668958216859436,1.4357764908245152,0.911478635464501,1.8915158085567656,1.0,1.0,0.6688806691385716,0.7668958216859436,1.4357764908245152,0.911478635464501,1.8915158085567656,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,10,24,False,1.0,1.0,1.0,0,0.286704659174984,0.2865740186565553,0.0164677153455645,2.075076277876469
handmovementdirection,1,csta_fv_score_top5,success,,0.2384428967090257,0.2597951316701317,0.021352234961105998,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.449084249084249,30,0,0,10.329191130003892,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002859141737954,1.1123510461548092e-07,1.0873762139841865,0.1492340760403767,0.1378233040167914,0.9899009169526736,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,2.164492268642559,0.2078125,1.0,1280,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/handmovementdirection/s1/candidate_audit/handmovementdirection_s1_csta_fv_score_top5_candidate_audit.csv.gz,0.1000000001868759,0.326691634642261,0.0999999999999999,0.0999999999999999,0.1378233040167914,0.0,0.0,0.9899009169526736,1.1123510461548092e-07,2.164492268642559,0.2078125,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.653152590269994,0.7160136782516278,1.3691662685216217,0.5413350330753606,1.639833785059302,1.0,1.0,0.653152590269994,0.7160136782516278,1.3691662685216217,0.5413350330753606,1.639833785059302,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,55,128,False,1.0,1.0,1.0,0,0.7521657954824004,0.7547584640415349,0.0132217261575631,2.164492268642559
handmovementdirection,2,csta_fv_score_top5,success,,0.2030680813439434,0.2677662957074722,0.06469821436352877,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.4081477732793522,13,0,0,8.053601838008035,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002854896512464,1.1117947553158881e-07,1.0879861434173048,0.1490692618699925,0.1384131426218003,0.987985101412486,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,2.123206268991233,0.17734375,1.0,1280,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/handmovementdirection/s2/candidate_audit/handmovementdirection_s2_csta_fv_score_top5_candidate_audit.csv.gz,0.1000000003622626,0.320857737495953,0.0999999999999999,0.0999999999999999,0.1384131426218003,0.0,0.0,0.987985101412486,1.1117947553158881e-07,2.123206268991233,0.17734375,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.6004906195761841,0.7159578758049921,1.316448495381176,0.8464800434111084,1.7396885170867304,1.0,1.0,0.6004906195761841,0.7159578758049921,1.316448495381176,0.8464800434111084,1.7396885170867304,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,55,128,False,1.0,1.0,1.0,0,0.7594804272123965,0.761819704350053,0.0119107333957204,2.123206268991233
handmovementdirection,3,csta_fv_score_top5,success,,0.1875628456510809,0.3490761271249076,0.1615132814738267,1280,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.357040802764487,16,0,0,8.359200744016562,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002854939475634,1.11481462628599e-07,1.0845414307901955,0.1456255328454306,0.1358228208722532,1.0034452843727364,0.0999999999999999,0.0999999999999999,0.0,0.0,0.0,1280,1280,10,10,0.0,2.0709100155022635,0.23515625,1.0,1280,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/handmovementdirection/s3/candidate_audit/handmovementdirection_s3_csta_fv_score_top5_candidate_audit.csv.gz,0.1000000002404723,0.3362710096461476,0.0999999999999999,0.0999999999999999,0.1358228208722532,0.0,0.0,1.0034452843727364,1.11481462628599e-07,2.0709100155022635,0.23515625,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.6589755608476897,0.776527005755537,1.4355025666032266,0.5403062779448351,1.7056557055756445,1.0,1.0,0.6589755608476897,0.776527005755537,1.4355025666032266,0.5403062779448351,1.7056557055756445,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,55,128,False,1.0,1.0,1.0,0,0.7623051847260964,0.7644649575641655,0.0116461000250424,2.0709100155022635
handwriting,1,csta_fv_score_top5,success,,0.382737297846506,0.373425229526325,-0.009312068320181,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,pre_bridge_fv_score_top5,0.4369047619047619,13,0,0,6.908071329002269,fv_score_topk,single_anchor_pre_bridge_selector,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001573752905336,0.0003239054355402,1.0812834058018093,0.1225087478734428,0.6681662144798863,0.2429830989517447,0.1,0.0949935641729393,0.0,0.0,0.0,1200,1200,10,10,0.1916666666666666,2.082516951199691,0.2075,1.0,1200,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_selector_ablation_v1/resnet1d_s123_byarm/csta_fv_score_top5/_csta_runs/csta_fv_score_top5/handwriting/s1/candidate_audit/handwriting_s1_csta_fv_score_top5_candidate_audit.csv.gz,0.0949935648270086,0.4425818060689409,0.1,0.0949935641729393,0.6681662144798863,0.1916666666666666,0.0,0.2429830989517447,0.0003239054355402,2.082516951199691,0.2075,pre_bridge_fv,fv_score_top5,1.0,0.1,0,0,0,0,0,0,0,0,0.6495037308820953,0.6515397320678616,1.301043462949957,0.5530479263413136,1.5775674261206138,1.0,1.0,0.6495037308820953,0.6515397320678616,1.301043462949957,0.5530479263413136,1.5775674261206138,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,fv_score_top5,6,120,False,1.0,1.0,1.0,0,0.7453685192797045,0.7444455584581675,0.002264257482999,2.082516951199691
