dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,csta_topk_uniform_top5,0.26854256854256847,0.10282668713089323,0.033999333999334004,0.1802848026181287,0.7037037037037036,120.0,10.0,3
atrialfibrillation,spg_cfm_film_one_step,0.21579161579161577,0.08473478699731932,-0.018751618751618734,0.10356071241306514,0.8518518518518517,120.0,10.0,3
atrialfibrillation,spg_cfm_align_one_step,0.19529359529359525,0.07360091852215568,-0.039249639249639236,0.069194843711927,0.7037037037037036,120.0,10.0,3
atrialfibrillation,spg_cfm_one_step,0.17617937617937615,0.023636956943119965,-0.05836385836385835,0.09712590710538684,0.8518518518518517,120.0,10.0,3
ering,spg_cfm_align_one_step,0.8334262215923675,0.04271108831580383,0.08650481374777097,0.15348071013719583,0.9259259259259259,240.0,10.0,3
ering,csta_topk_uniform_top5,0.8205151780046046,0.05623328413328154,0.07359377016000805,0.12405371550840207,0.9259259259259259,240.0,10.0,3
ering,spg_cfm_one_step,0.8055506279051613,0.020398114886804385,0.058629220060564737,0.16116362723817584,1.0,240.0,10.0,3
ering,spg_cfm_film_one_step,0.8011117495045973,0.0858342776916378,0.05419034166000088,0.11720421134712469,0.9259259259259259,240.0,10.0,3
handmovementdirection,spg_cfm_one_step,0.30747670704567254,0.06348913589023854,0.09778543247765586,0.0775852617609123,0.39331237934179103,1280.0,10.0,3
handmovementdirection,spg_cfm_align_one_step,0.2776238694275102,0.042931764243857216,0.06793259485949359,0.05530400960558024,0.3719479050361403,1280.0,10.0,3
handmovementdirection,csta_topk_uniform_top5,0.2723931737766877,0.03121677247031496,0.06270189920867104,0.007994747477931195,0.36752671890925126,1280.0,10.0,3
handmovementdirection,spg_cfm_film_one_step,0.2578804442193112,0.015293165384897469,0.04818916965129455,0.011703368519019701,0.3749490426154513,1280.0,10.0,3
handwriting,spg_cfm_film_one_step,0.4712325684671681,0.011407829967504935,0.07113255077939175,0.023035975303632085,0.39816666666666656,1200.0,10.0,3
handwriting,spg_cfm_one_step,0.46854718090661923,0.030185362953872166,0.06844716321884287,0.04591606123443428,0.37974867724867717,1200.0,10.0,3
handwriting,csta_topk_uniform_top5,0.4680564886832321,0.011426032686779424,0.06795647099545575,0.01736148820365972,0.41865588115588115,1200.0,10.0,3
handwriting,spg_cfm_align_one_step,0.46669088865613056,0.03798093870392705,0.06659087096835427,0.053275164278566864,0.3547777777777778,1200.0,10.0,3
japanesevowels,spg_cfm_one_step,0.9837187499497734,0.007986363190022458,0.017567790917394504,0.01606615840268111,0.9875679875679876,2160.0,10.0,3
japanesevowels,spg_cfm_align_one_step,0.9835982063892561,0.005359875257983466,0.017447247356877266,0.009690577873292043,0.9807217473884141,2160.0,10.0,3
japanesevowels,spg_cfm_film_one_step,0.9820717960370242,0.003964795456193652,0.015920837004645416,0.008823697551260034,0.9937839937839938,2160.0,10.0,3
japanesevowels,csta_topk_uniform_top5,0.9785341333074079,0.0069528804284001424,0.012383174275029033,0.012729027076391956,0.9875679875679877,2160.0,10.0,3
natops,spg_cfm_one_step,0.9680974377524926,0.008781873698126632,0.046454905469316334,0.006548939005827032,0.9813519813519814,1440.0,10.0,3
natops,csta_topk_uniform_top5,0.9608696404345388,0.005711285449272913,0.03922710815136262,0.013092921635537373,0.9813519813519814,1440.0,10.0,3
natops,spg_cfm_align_one_step,0.9608241739104177,0.010047470278872756,0.03918164162724155,0.008852189783612704,0.9813519813519814,1440.0,10.0,3
natops,spg_cfm_film_one_step,0.9563213411003627,0.014902785051733208,0.03467880881718647,0.025851689672362184,0.9813519813519814,1440.0,10.0,3
racketsports,csta_topk_uniform_top5,0.8877814485757538,0.007457931092273792,0.01817394890372955,0.006226852950702653,0.9606481481481483,1200.0,10.0,3
racketsports,spg_cfm_film_one_step,0.8810280473109319,0.013305253515635676,0.011420547638907763,0.0035808568840134053,0.9406955911019379,1200.0,10.0,3
racketsports,spg_cfm_align_one_step,0.8804021071859803,0.019420386421315595,0.010794607513956148,0.009364839578203782,0.9504299965600275,1200.0,10.0,3
racketsports,spg_cfm_one_step,0.8748023369947336,0.003970667924886456,0.005194837322709349,0.00928352040185476,0.9507066276803119,1200.0,10.0,3
