dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,csta_topk_uniform_top5,0.26854256854256847,0.10282668713089323,0.033999333999334004,0.1802848026181287,0.7037037037037036,120.0,10.0,3
atrialfibrillation,spg_cfm_align_one_step,0.1629111629111629,0.10217584837327037,-0.07163207163207162,0.147159256222372,0.8518518518518517,120.0,10.0,3
ering,spg_cfm_align_one_step,0.8212329830888061,0.06037774761198681,0.07431157524420957,0.1814960156884137,1.0,240.0,10.0,3
ering,csta_topk_uniform_top5,0.8205151780046046,0.05623328413328154,0.07359377016000805,0.12405371550840207,0.9259259259259259,240.0,10.0,3
handmovementdirection,csta_topk_uniform_top5,0.2723931737766877,0.03121677247031496,0.06270189920867104,0.007994747477931195,0.36752671890925126,1280.0,10.0,3
handmovementdirection,spg_cfm_align_one_step,0.24697621371405878,0.03237139106308825,0.03728493914604214,0.04198425929452976,0.38506658030651836,1280.0,10.0,3
handwriting,csta_topk_uniform_top5,0.4680564886832321,0.011426032686779424,0.06795647099545575,0.01736148820365972,0.41865588115588115,1200.0,10.0,3
handwriting,spg_cfm_align_one_step,0.4206861009087403,0.0618792258029418,0.020586083220964002,0.07727809409414196,0.3602116402116402,1200.0,10.0,3
japanesevowels,spg_cfm_align_one_step,0.9855707959639197,0.006652634233935377,0.019419836931540924,0.015475707259809575,0.9813519813519814,2160.0,10.0,3
japanesevowels,csta_topk_uniform_top5,0.9785341333074079,0.0069528804284001424,0.012383174275029033,0.012729027076391956,0.9875679875679877,2160.0,10.0,3
natops,csta_topk_uniform_top5,0.9608696404345388,0.005711285449272913,0.03922710815136262,0.013092921635537373,0.9813519813519814,1440.0,10.0,3
natops,spg_cfm_align_one_step,0.9567056884109685,0.012276372906367957,0.03506315612779228,0.005520816500964774,0.9813519813519814,1440.0,10.0,3
racketsports,csta_topk_uniform_top5,0.8877814485757538,0.007457931092273792,0.01817394890372955,0.006226852950702653,0.9606481481481483,1200.0,10.0,3
racketsports,spg_cfm_align_one_step,0.8695853096345929,0.014063650432061528,-2.2190037431276306e-05,0.0008671517308006082,0.9404100529100529,1200.0,10.0,3
