dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
articularywordrecognition,manifold_mixup,0.9639251550381984,0.013925130364441776,0.000818216244303153,0.023910079928477535,0.9946666666666667,0.0,0.0,3
articularywordrecognition,raw_mixup,0.9516090672612413,0.0197189697522079,-0.0114978715326541,0.010697206394411468,0.9887619047619047,2200.0,10.0,3
epilepsy,raw_mixup,0.9855935475793028,0.0071186441118403455,0.027147308834133077,0.02884370951735107,1.0,1090.0,10.0,3
epilepsy,manifold_mixup,0.9762199598755589,0.008406307995844851,0.01777372113038918,0.020168449668188686,1.0,0.0,0.0,3
handmovementdirection,manifold_mixup,0.2564809330800716,0.018426880109854313,0.04678965851205489,0.01565136966882292,0.47360337884298037,0.0,0.0,3
handmovementdirection,raw_mixup,0.21315913469358572,0.07213036881963622,0.0034678601255690076,0.05465787197796442,0.3612351760627623,1280.0,10.0,3
japanesevowels,manifold_mixup,0.9787477877696292,0.012498381429445857,0.012596828737250284,0.020642243326899665,1.0,0.0,0.0,3
japanesevowels,raw_mixup,0.9768844693938915,0.009413944785508261,0.010733510361512674,0.018357514917332726,0.9937839937839937,2160.0,10.0,3
pendigits,raw_mixup,0.9818105159278531,0.004435499317622496,-0.001213896299955201,0.0023008529593086086,0.9988953143655958,59950.0,10.0,3
pendigits,manifold_mixup,0.9811815033189139,0.0037721903494585558,-0.0018429089088944917,0.006089563648638679,0.9980142956474093,0.0,0.0,3
