dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,mixup_alpha,manifold_mixup_alpha
articularywordrecognition,1,raw_mixup,success,,0.9730638636725593,0.9663288537549407,-0.006735009917618551,2200,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,15,0,0,2.5498946289299056,0.4,
articularywordrecognition,1,manifold_mixup,success,,0.9730638636725593,0.9490172436259392,-0.02404662004662006,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,1.0815024110488594,,0.4
articularywordrecognition,2,raw_mixup,success,,0.952954070084505,0.929204783622175,-0.023749286462329988,2200,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.9662857142857143,11,0,0,1.8439190540229902,0.4,
articularywordrecognition,2,manifold_mixup,success,,0.952954070084505,0.9765968582142495,0.02364278812974452,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.9840000000000001,30,0,0,1.0362545910757035,,0.4
articularywordrecognition,3,raw_mixup,success,,0.9633028826246217,0.959293564406608,-0.004009318218013758,2200,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,4.982383997994475,0.4,
articularywordrecognition,3,manifold_mixup,success,,0.9633028826246217,0.9661613632744067,0.002858480649785,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,29,0,0,1.0077211720636114,,0.4
epilepsy,1,raw_mixup,success,,0.9717806041335453,0.9851240406335451,0.013343436499999806,1090,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,2.573126695002429,0.4,
epilepsy,1,manifold_mixup,success,,0.9717806041335453,0.9709217843885813,-0.0008588197449639345,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.6320753280306235,,0.4
epilepsy,2,raw_mixup,success,,0.9709217843885813,0.9787212787212787,0.007799494332697332,1090,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,2.5900968320202082,0.4,
epilepsy,2,manifold_mixup,success,,0.9709217843885813,0.9859126984126985,0.014990914024117119,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.6418612169800326,,0.4
