dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,mixup_alpha_mean,mixup_alpha_std,manifold_mixup_alpha_mean,manifold_mixup_alpha_std
articularywordrecognition,manifold_mixup,2.0,1.0,,,0.9631069387938952,0.010056328605765413,0.9639251550381985,0.013925130364441863,0.0008182162443031669,0.023910079928477497,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9946666666666667,0.009237604307034013,29.666666666666668,0.5773502691896263,0.0,0.0,0.0,0.0,1.0418260580627248,0.037204821459592675,,,0.4000000000000001,0.0
articularywordrecognition,raw_mixup,2.0,1.0,,,0.9631069387938952,0.010056328605765413,0.9516090672612413,0.01971896975220795,-0.011497871532654034,0.010697206394411449,2200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9887619047619047,0.019464951932678727,18.666666666666668,10.016652800877813,0.0,0.0,0.0,0.0,3.125399226982457,1.646479489067266,0.4000000000000001,0.0,,
atrialfibrillation,manifold_mixup,2.0,1.0,,,0.23454323454323447,0.078502724418324,0.22753172753172748,0.13435510399616343,-0.0070115070115069995,0.18418849946121155,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7037037037037036,0.25660011963983376,26.666666666666668,5.773502691896258,0.0,0.0,0.0,0.0,0.4105808087236558,0.12144566846769075,,,0.4000000000000001,0.0
atrialfibrillation,raw_mixup,2.0,1.0,,,0.23454323454323447,0.078502724418324,0.1461063627730294,0.017994071342075892,-0.08843687177020504,0.06540204686259468,120.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5555555555555555,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.7471930880177146,0.048123311965796764,0.4000000000000001,0.0,,
basicmotions,manifold_mixup,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.4575570273445919,0.027082580155132725,,,0.4000000000000001,0.0
basicmotions,raw_mixup,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0119321556994691,0.030569397143444487,0.4000000000000001,0.0,,
cricket,manifold_mixup,2.0,1.0,,,0.9906759906759909,0.008074828939714989,0.932129172570349,0.06919087766520113,-0.05854681810564157,0.07726570482388825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9851851851851853,0.02566001196398334,24.666666666666668,9.237604307034012,0.0,0.0,0.0,0.0,1.3521096860058606,0.5177860231186536,,,0.4000000000000001,0.0
cricket,raw_mixup,2.0,1.0,,,0.9906759906759909,0.008074828939714989,0.9813843563843565,0.008018753738744838,-0.009291634291634134,0.00804693787587716,860.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,7.776857477341157,0.01251680696449829,0.4000000000000001,0.0,,
epilepsy,manifold_mixup,2.0,1.0,,,0.9584462387451697,0.02235616298563245,0.9762199598755589,0.008406307995844815,0.017773721130389167,0.020168449668188638,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.6397486450150609,0.006865298209923312,,,0.4000000000000001,0.0
epilepsy,raw_mixup,2.0,1.0,,,0.9584462387451697,0.02235616298563245,0.9855935475793028,0.007118644111840202,0.027147308834133035,0.02884370951735103,1090.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,2.585037384026994,0.010353792317445496,0.4000000000000001,0.0,,
