dataset,mean_f1_a,std_f1_a,mean_f1_b,std_f1_b,mean_gain_a,mean_gain_b,mean_delta,std_delta,n_seeds,seed_win,seed_loss,seed_tie,result
articularywordrecognition,0.9797708481534567,0.006062159447904349,0.9687439634975866,0.009909720537684867,0.016663909359561562,0.005637024703691429,0.011026884655870131,0.01490173156927824,3,2,1,0,win
atrialfibrillation,0.26854256854256847,0.10282668713089323,0.11259666259666257,0.061079246178242896,0.033999333999334004,-0.12194657194657192,0.15594590594590593,0.16273418299953046,3,3,0,0,win
basicmotions,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,0,0,3,tie
cricket,0.9813843563843564,0.01612169342034551,0.9860139860139862,7.850462293418876e-17,-0.00929163429163434,-0.004662004662004615,-0.004629629629629724,0.016121693420345497,3,1,2,0,loss
epilepsy,0.9714943308852239,0.0004958398109402933,0.9667815852593376,0.020870588209671057,0.013048092140054238,0.008335346514167933,0.004712745625886305,0.020374748770326113,3,1,2,0,win
ering,0.8205151780046046,0.05623328413328154,0.8501776214953166,0.02146308879579797,0.07359377016000805,0.10325621365072017,-0.02966244349071212,0.056749212518739545,3,1,2,0,loss
ethanolconcentration,0.27421298970049424,0.02939472251013186,0.2456723023182481,0.02499774715323299,-0.004940705404933752,-0.0334813927871799,0.02854068738224615,0.023406017287039237,3,3,0,0,win
fingermovements,0.5289125965573828,0.019479775255389353,0.517310301078417,0.021691025589232072,0.04829226236375974,0.03668996688479392,0.011602295478965815,0.02294331351739319,3,2,1,0,win
handmovementdirection,0.2723931737766877,0.03121677247031496,0.2976569238271552,0.04837749046066795,0.06270189920867104,0.08796564925913856,-0.02526375005046751,0.022714679852547194,3,1,2,0,loss
handwriting,0.4680564886832321,0.011426032686779424,0.4674405889172227,0.038831278159894116,0.06795647099545575,0.06734057122944642,0.0006158997660093238,0.04227695813034352,3,2,1,0,win
har,0.9553691732491746,0.003947949667689935,0.9526589349096618,0.0030414874607925346,0.020474229777689017,0.017763991438176346,0.0027102383395126717,0.006988955703638432,3,2,1,0,win
heartbeat,0.6554403285887614,0.029992120997410845,0.5920382176898239,0.0326442834200575,0.0024133103002577836,-0.06098880059867984,0.06340211089893762,0.05510507336558553,3,3,0,0,win
japanesevowels,0.9785341333074079,0.0069528804284001424,0.9701810617784151,0.008767104124671599,0.012383174275029033,0.004030102746036361,0.008353071528992673,0.005882628594982969,3,3,0,0,win
libras,0.8674927711586049,0.057510021177380584,0.894147141174047,0.05918925626206643,0.30699576250958627,0.33365013252502845,-0.02665437001544217,0.040819349011747906,3,1,2,0,loss
motorimagery,0.4486584126953809,0.06732509617945091,0.4844047439880412,0.10140010928549316,0.012505204071286913,0.04825153536394718,-0.03574633129266027,0.0999275417772397,3,1,2,0,loss
natops,0.9608696404345388,0.005711285449272913,0.9512742307142527,0.023066197393943336,0.03922710815136262,0.02963169843107642,0.0095954097202862,0.0217986658251716,3,1,2,0,win
pendigits,0.9852420447660474,0.003762410826942357,0.9878735541580331,0.0023791307068871622,0.002217632538239108,0.004849141930224714,-0.0026315093919856056,0.006039963036927858,3,2,1,0,loss
racketsports,0.8877814485757538,0.007457931092273792,0.8798842950588853,0.01991009129423339,0.01817394890372955,0.010276795386861104,0.007897153516868446,0.012777033054542388,3,2,1,0,win
selfregulationscp2,0.4638288066312343,0.04382104707552169,0.5128788972306961,0.04165939435996588,0.013088263930042476,0.06213835452950436,-0.04905009059946188,0.017490148685632707,3,0,3,0,loss
uwavegesturelibrary,0.7900257724292011,0.02127038066098667,0.8047224511119886,0.01707823726874051,0.08067367592973866,0.09537035461252603,-0.014696678682787382,0.03177646442192581,3,1,2,0,loss
