dataset,seed,aug_f1_a,aug_f1_b,base_f1_a,gain_a,gain_b,delta
articularywordrecognition,1,0.9867665551839464,0.960177593099332,0.9730638636725591,0.013702691511387255,-0.01288627057322711,0.026588962084614365
articularywordrecognition,2,0.9764847481021394,0.9795971970058928,0.952954070084505,0.02353067801763442,0.026643126921387816,-0.0031124489037533953
articularywordrecognition,3,0.9760612411742846,0.9664571003875352,0.9633028826246216,0.012758358549663007,0.0031542177629135804,0.009604140786749427
atrialfibrillation,1,0.2666666666666666,0.1309523809523809,0.2164502164502164,0.050216450216450215,-0.08549783549783549,0.1357142857142857
atrialfibrillation,2,0.1666666666666666,0.1623931623931624,0.3205128205128205,-0.15384615384615388,-0.15811965811965809,0.004273504273504203
atrialfibrillation,3,0.3722943722943723,0.0444444444444444,0.1666666666666666,0.2056277056277057,-0.1222222222222222,0.3278499278499279
basicmotions,1,1.0,1.0,1.0,0.0,0.0,0.0
basicmotions,2,1.0,1.0,1.0,0.0,0.0,0.0
basicmotions,3,1.0,1.0,1.0,0.0,0.0,0.0
cricket,1,0.972027972027972,0.9860139860139862,0.9860139860139862,-0.013986013986014179,0.0,-0.013986013986014179
cricket,2,1.0,0.9860139860139862,1.0,0.0,-0.013986013986013845,0.013986013986013845
cricket,3,0.9721250971250972,0.986013986013986,0.986013986013986,-0.01388888888888884,0.0,-0.01388888888888884
epilepsy,1,0.9717806041335452,0.978856462179869,0.9717806041335452,0.0,0.007075858046323824,-0.007075858046323824
epilepsy,2,0.9717806041335452,0.9788059701492536,0.9709217843885812,0.0008588197449639345,0.007884185760672402,-0.007025366015708467
epilepsy,3,0.9709217843885812,0.94268232344889,0.9326363277133825,0.03828545667519878,0.010045995735507574,0.028239460939691208
ering,1,0.7580623914313596,0.8528930220106692,0.5424850558740912,0.21557733555726832,0.31040796613657795,-0.09483063057930963
ering,2,0.8671337553903701,0.8701537940854668,0.848105426301868,0.01902832908850205,0.022048367783598755,-0.003020038695096705
ering,3,0.836349387192084,0.827486048389814,0.8501737413578302,-0.013824354165746233,-0.022687692968016204,0.008863338802269971
ethanolconcentration,1,0.2418378080544981,0.2346996263937316,0.25302243628668,-0.011184628232181887,-0.018322809892948377,0.0071381816607664905
ethanolconcentration,2,0.2992286845945383,0.2742797918527923,0.2957462456440558,0.003482438950482447,-0.02146645379126355,0.024948892741745998
ethanolconcentration,3,0.2815724764524464,0.2280374887082204,0.2886924033855482,-0.007119926933101817,-0.06065491467732778,0.053534987744225965
fingermovements,1,0.50995099509951,0.4967793880837359,0.4591346153846154,0.05081637971489461,0.03764477269912048,0.013171607015774134
fingermovements,2,0.5488721804511278,0.5151515151515151,0.537037037037037,0.011835143414090865,-0.02188552188552184,0.03372066529961271
fingermovements,3,0.5279146141215106,0.54,0.4456893501592169,0.08222526396229374,0.09431064984078313,-0.012085385878489396
handmovementdirection,1,0.3083036244800951,0.3510470507753117,0.2384428967090257,0.06986072777106939,0.11260415406628599,-0.0427434262952166
handmovementdirection,2,0.2571428571428571,0.2567315286065286,0.2030680813439434,0.054074775798913705,0.05366344726258518,0.00041132853632852573
handmovementdirection,3,0.2517330397071109,0.2851921920996254,0.1875628456510809,0.06417019405603003,0.09762934644854449,-0.03345915239251446
handwriting,1,0.4692893639142952,0.5107466165913952,0.382737297846506,0.0865520660677892,0.1280093187448892,-0.04145725267709999
handwriting,2,0.4788160889086109,0.435722330977586,0.4136709560472157,0.06514513286139517,0.022051374930370293,0.04309375793102488
handwriting,3,0.4560640132267901,0.455852819182687,0.4038917991696072,0.052172214057182864,0.051961020013079784,0.00021119404410308018
