dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,dba_k,dba_max_iter
basicmotions,1,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,1.1296787400497124,0.0074710908403013395,,,,
basicmotions,1,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,1.1004491139901802,0.007465070443397543,10.0,0.9967995882034302,,
basicmotions,1,dba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,6.478537598042749,,,,5.0,5.0
basicmotions,1,raw_aug_jitter,success,,1.0,1.0,0.0,320,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,1.1782851989846677,,,,,
basicmotions,2,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,1.3536535219755024,0.00877480145726176,,,,
basicmotions,2,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,1.3506063850363716,0.00877498056670722,10.0,0.9967847466468811,,
basicmotions,2,dba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,2.600186365074478,,,,5.0,5.0
basicmotions,2,raw_aug_jitter,success,,1.0,1.0,0.0,320,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,1.1809007580159232,,,,,
basicmotions,3,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,1.366747852996923,0.008457595882849497,,,,
basicmotions,3,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,1.3657645040657371,0.008452309042818167,10.0,0.9971162676811218,,
basicmotions,3,dba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,2.5436763840261847,,,,5.0,5.0
basicmotions,3,raw_aug_jitter,success,,1.0,1.0,0.0,320,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,0.9864224100019783,,,,,
ethanolconcentration,1,random_cov_state,success,,0.25302243628668,0.2567404599879404,0.003718023701260398,2080,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.48312425328554365,18,0,0,19.38687561696861,5.42706356611465e-09,,,,
ethanolconcentration,1,pca_cov_state,success,,0.25302243628668,0.23469962639373165,-0.018322809892948322,2080,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.46904845388365723,12,0,0,13.372178470017388,5.4335578567076255e-09,6.0,0.9999999403953552,,
