dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,transport_error_logeuc_mean_mean,transport_error_logeuc_mean_std,pca_n_components_mean,pca_n_components_std,pca_explained_variance_ratio_sum_mean,pca_explained_variance_ratio_sum_std,dba_k_mean,dba_k_std,dba_max_iter_mean,dba_max_iter_std
articularywordrecognition,dba_sameclass,2.0,1.0,,,0.9631069387938952,0.010056328605765413,0.9720491836665749,0.0050364236911404105,0.008942244872679634,0.009834364219310512,2200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9804444444444446,0.01873005111618257,25.666666666666668,7.505553499465135,0.0,0.0,0.0,0.0,24.51088500969733,1.8607780344360192,,,,,,,5.0,0.0,5.0,0.0
articularywordrecognition,pca_cov_state,2.0,1.0,,,0.9631069387938952,0.010056328605765413,0.9687439634975866,0.009909720537684867,0.005637024703691333,0.01988131193610462,2200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9763174603174604,0.02831653496957729,17.666666666666668,10.692676621563628,0.0,0.0,0.0,0.0,4.235263224031466,1.3926091045745557,0.0263978233434209,0.0006352320488630602,10.0,0.0,0.6831088463465372,0.00128343216397783,,,,
articularywordrecognition,random_cov_state,2.0,1.0,,,0.9631069387938952,0.010056328605765413,0.9654175087392477,0.007138812870612635,0.0023105699453525004,0.01696200617549372,2200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9705396825396825,0.02331395372727634,11.333333333333334,0.5773502691896255,0.0,0.0,0.0,0.0,3.2353952186725414,0.5307290061819527,0.026399147398546863,0.0006387972916083466,,,,,,,,
articularywordrecognition,raw_aug_jitter,2.0,1.0,,,0.9631069387938952,0.010056328605765413,0.965116332298941,0.0017101530440821822,0.002009393505045767,0.011700549304087073,2200.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9763174603174604,0.02831653496957729,11.666666666666666,0.5773502691896258,0.0,0.0,0.0,0.0,1.9887132193349923,0.13214684188594772,,,,,,,,,,
atrialfibrillation,dba_sameclass,2.0,1.0,,,0.23454323454323447,0.078502724418324,0.2589506172839506,0.0682950141814794,0.024407382740716032,0.010274273893760679,120.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5925925925925926,0.39020939825380513,20.333333333333332,8.736894948054104,120.0,0.0,120.0,0.0,19.48987054332004,1.7043155006229982,,,,,,,5.0,0.0,5.0,0.0
atrialfibrillation,pca_cov_state,2.0,1.0,,,0.23454323454323447,0.078502724418324,0.11259666259666257,0.061079246178242896,-0.12194657194657192,0.036311696015674064,120.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7037037037037036,0.2566001196398337,28.666666666666668,2.309401076758503,0.0,0.0,0.0,0.0,0.9348718719944978,0.07842863690529485,0.030866432765554397,0.0033150049117620776,3.0,0.0,0.9999999602635702,3.4412757714036146e-08,,,,
atrialfibrillation,random_cov_state,2.0,1.0,,,0.23454323454323447,0.078502724418324,0.17222222222222217,0.10555555555555554,-0.06232101232101234,0.09714690001543241,120.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8518518518518517,0.25660011963983376,26.333333333333332,6.350852961085883,0.0,0.0,0.0,0.0,0.8792424687029173,0.19565884824175722,0.03086116741583313,0.0033252619176283634,,,,,,,,
atrialfibrillation,raw_aug_jitter,2.0,1.0,,,0.23454323454323447,0.078502724418324,0.16341436341436336,0.08730517691351532,-0.0711288711288711,0.15664918616443724,120.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8518518518518517,0.25660011963983376,25.666666666666668,7.505553499465136,0.0,0.0,0.0,0.0,0.7853959386314576,0.21385948961368226,,,,,,,,,,
basicmotions,dba_sameclass,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,3.874133449047804,2.2556571266409446,,,,,,,5.0,0.0,5.0,0.0
basicmotions,pca_cov_state,2.0,1.0,,,1.0,0.0,1.0,0.0,0.0,0.0,320.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.2722733343640964,0.14899702739804968,0.0082307866843076,0.000682473625334598,10.0,0.0,0.996900200843811,0.00018726645879418573,,,,
