dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,dba_k,dba_max_iter
articularywordrecognition,1,dba_sameclass,success,,0.9730638636725591,0.9763753463927376,0.0033114827201784,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.9786666666666668,30,0,0,26.36023923603352,,,,5.0,5.0
articularywordrecognition,2,dba_sameclass,success,,0.952954070084505,0.9732519306780176,0.0202978605935126,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.9626666666666668,17,0,0,22.638889785972424,,,,5.0,5.0
articularywordrecognition,3,dba_sameclass,success,,0.9633028826246216,0.9665202739289696,0.0032173913043479,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,24.53352600708604,,,,5.0,5.0
articularywordrecognition,1,pca_cov_state,success,,0.9730638636725591,0.960177593099332,-0.0128862705732271,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.984,11,0,0,3.219396944041364,0.0271074054461708,10.0,0.6842184066772461,,
articularywordrecognition,2,pca_cov_state,success,,0.952954070084505,0.9795971970058928,0.0266431269213877,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.944952380952381,30,0,0,5.8227202841080725,0.0258821295714489,10.0,0.6817032694816589,,
articularywordrecognition,3,pca_cov_state,success,,0.9633028826246216,0.9664571003875352,0.0031542177629134,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,12,0,0,3.663672443944961,0.026203935012643,10.0,0.6834048628807068,,
articularywordrecognition,1,random_cov_state,success,,0.9730638636725591,0.9601341846559236,-0.0129296790166355,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.984,11,0,0,3.818457254092209,0.0271130358888424,,,,
articularywordrecognition,2,random_cov_state,success,,0.952954070084505,0.973538907469342,0.0205848373848371,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9436190476190476,11,0,0,2.780455892905593,0.0258814723307986,,,,
articularywordrecognition,3,random_cov_state,success,,0.9633028826246216,0.9625794340924776,-0.0007234485321441,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.984,12,0,0,3.107272509019822,0.0262029339759996,,,,
articularywordrecognition,1,raw_aug_jitter,success,,0.9730638636725591,0.9631979325022804,-0.0098659311702788,2200,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.984,11,0,0,1.8361281029647216,,,,,
