dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
articularywordrecognition,csta_topk_uniform_top5,0.9797708481534567,0.006062159447904349,0.016663909359561562,0.0059655112973045765,0.9816507936507938,2200.0,10.0,3
articularywordrecognition,pca_cov_state,0.9687439634975866,0.00990972053768476,0.005637024703691355,0.019881311936104623,0.9763174603174604,2200.0,10.0,3
articularywordrecognition,random_cov_state,0.9654175087392479,0.007138812870612662,0.002310569945352503,0.01696200617549379,0.9705396825396826,2200.0,10.0,3
articularywordrecognition,no_aug,0.9631069387938953,0.010056328605765497,0.0,0.0,0.9875555555555556,0.0,0.0,3
atrialfibrillation,csta_topk_uniform_top5,0.26854256854256847,0.10282668713089323,0.033999333999334004,0.1802848026181287,0.7037037037037036,120.0,10.0,3
atrialfibrillation,no_aug,0.23454323454323456,0.078502724418324,0.0,0.0,0.5555555555555555,0.0,0.0,3
atrialfibrillation,random_cov_state,0.17222222222222225,0.10555555555555554,-0.06232101232101233,0.09714690001543247,0.8518518518518517,120.0,10.0,3
atrialfibrillation,pca_cov_state,0.11259666259666261,0.06107924617824287,-0.12194657194657195,0.036311696015674036,0.7037037037037036,120.0,10.0,3
basicmotions,csta_topk_uniform_top5,1.0,0.0,0.0,0.0,1.0,320.0,10.0,3
basicmotions,no_aug,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3
basicmotions,pca_cov_state,1.0,0.0,0.0,0.0,1.0,320.0,10.0,3
basicmotions,random_cov_state,1.0,0.0,0.0,0.0,1.0,320.0,10.0,3
cricket,no_aug,0.9906759906759907,0.008074828939715029,0.0,0.0,1.0,0.0,0.0,3
cricket,pca_cov_state,0.9860139860139862,1.1102230246251565e-16,-0.004662004662004615,0.008074828939714965,1.0,860.0,10.0,3
cricket,random_cov_state,0.9813843563843565,0.008018753738744918,-0.009291634291634229,0.008046937875877241,1.0,860.0,10.0,3
cricket,csta_topk_uniform_top5,0.9813843563843564,0.01612169342034551,-0.00929163429163434,0.008046937875877338,1.0,860.0,10.0,3
epilepsy,csta_topk_uniform_top5,0.9714943308852239,0.0004958398109402933,0.013048092140054238,0.02186041672403373,1.0,1090.0,10.0,3
epilepsy,random_cov_state,0.9706258106585528,0.007477423481578873,0.012179571913383036,0.016238276593668995,1.0,1090.0,10.0,3
epilepsy,pca_cov_state,0.9667815852593377,0.020870588209671023,0.008335346514167933,0.0015356070435820382,1.0,1090.0,10.0,3
epilepsy,no_aug,0.9584462387451698,0.02235616298563248,0.0,0.0,1.0,0.0,0.0,3
ering,pca_cov_state,0.8501776214953166,0.02146308879579797,0.10325621365072017,0.1807877628639854,1.0,240.0,10.0,3
ering,csta_topk_uniform_top5,0.8205151780046046,0.05623328413328154,0.07359377016000805,0.12405371550840207,0.9259259259259259,240.0,10.0,3
ering,random_cov_state,0.7878228568457231,0.10050334503549231,0.04090144900112658,0.21826155887232665,0.9259259259259259,240.0,10.0,3
ering,no_aug,0.7469214078445964,0.1770500945694436,0.0,0.0,0.7777777777777777,0.0,0.0,3
ethanolconcentration,no_aug,0.27915369510542803,0.022903519123516253,0.0,0.0,0.4113752131593211,0.0,0.0,3
ethanolconcentration,csta_topk_uniform_top5,0.27421298970049424,0.02939472251013186,-0.004940705404933752,0.007572481085273216,0.40735648132199853,2080.0,10.0,3
ethanolconcentration,random_cov_state,0.2706648530087039,0.013953342154883412,-0.008488842096724106,0.011133583905590086,0.4313530008931241,2080.0,10.0,3
ethanolconcentration,pca_cov_state,0.2456723023182481,0.02499774715323298,-0.0334813927871799,0.02358539470044153,0.3879153768166923,2080.0,10.0,3
fingermovements,csta_topk_uniform_top5,0.5289125965573828,0.019479775255389353,0.04829226236375974,0.03526287912237681,0.6592481217325735,2520.0,10.0,3
fingermovements,pca_cov_state,0.517310301078417,0.021691025589232072,0.03668996688479392,0.05810396992951121,0.6454692424003738,2520.0,10.0,3
fingermovements,random_cov_state,0.5089990018996103,0.030044369177122478,0.028378667705987293,0.030209823191341714,0.639421663780103,2520.0,10.0,3
fingermovements,no_aug,0.4806203341936231,0.049318627911133894,0.0,0.0,0.6353269645638903,0.0,0.0,3
handmovementdirection,pca_cov_state,0.2976569238271552,0.04837749046066794,0.08796564925913852,0.030635633046443702,0.3596262526603084,1280.0,10.0,3
handmovementdirection,random_cov_state,0.2903481591789633,0.04023005635810931,0.0806568846109466,0.050915505053531804,0.3538951953619136,1280.0,10.0,3
handmovementdirection,csta_topk_uniform_top5,0.2723931737766877,0.03121677247031496,0.06270189920867104,0.007994747477931195,0.36752671890925126,1280.0,10.0,3
handmovementdirection,no_aug,0.2096912745680167,0.026078629474673792,0.0,0.0,0.40221985587097153,0.0,0.0,3
handwriting,pca_cov_state,0.4674405889172228,0.0388312781598941,0.06734057122944646,0.05462755175790707,0.3976216931216931,1200.0,10.0,3
handwriting,random_cov_state,0.4643840351655004,0.015589582982105008,0.06428401747772411,0.03072979463562023,0.40324074074074073,1200.0,10.0,3
handwriting,csta_topk_uniform_top5,0.45256267016586116,0.025515696006250997,0.05246265247808485,0.03264375483683782,0.40212962962962956,1200.0,10.0,3
