dataset,seed,method,n_train,z_dim,n_classes,tangent_available_rate,insufficient_neighbor_count,fallback_count,selected_alignment_mean,selected_alignment_std,random_alignment_mean,random_alignment_std,pca_alignment_mean,pca_alignment_std,selected_minus_random_alignment,selected_minus_pca_alignment,selected_normal_leakage_mean,random_normal_leakage_mean,pca_normal_leakage_mean,actual_candidate_audit_available,audit_source,top1_alignment_mean,top5_alignment_mean,top5_alignment_std_mean,selected_alignment_rank_within_top5_mean,selected_alignment_minus_top5_mean,top5_response_mean,top5_response_std_mean,k_neighbors,tangent_dim_policy,explained_var_threshold,max_tangent_dim
atrialfibrillation,1,csta_top1_current,12,3,3,1.0,0,0,0.7131511647965767,0.2633175439764531,0.545447292743664,0.3307913689750079,0.5651937231742807,0.3572795432975443,0.1677038720529127,0.1479574416222959,0.2868488352034232,0.4545527072563359,0.4348062768257193,False,policy_replay,0.7131511647965768,0.5737546645263273,0.2445028393735814,2.25,0.1393965002702493,0.9120530660412198,0.2461901299584155,8,auto,0.9,10
atrialfibrillation,1,csta_topk_uniform_top5,12,3,3,1.0,0,0,0.566623322608557,0.4183016895367736,0.545447292743664,0.3307913689750079,0.5651937231742807,0.3572795432975443,0.0211760298648929,0.0014295994342762,0.433376677391443,0.4545527072563359,0.4348062768257193,True,actual_candidate_audit,0.7131511647965768,0.5737546645263273,0.2445028393735814,2.333333333333333,-0.0071313419177703,0.9120530660412198,0.2461901299584155,8,auto,0.9,10
atrialfibrillation,1,pca_cov_state,12,3,3,1.0,0,0,,,,,0.5651937231742807,0.3572795432975443,,,,,0.4348062768257193,False,policy_replay,0.7131511647965768,0.5737546645263275,0.2445028393735814,,,0.9120530660412196,0.2461901299584155,8,auto,0.9,10
atrialfibrillation,1,random_cov_state,12,3,3,1.0,0,0,,,0.545447292743664,0.3307913689750079,,,,,,0.4545527072563359,,False,policy_replay,0.7131511647965768,0.5737546645263275,0.2445028393735814,,,0.9120530660412196,0.2461901299584155,8,auto,0.9,10
atrialfibrillation,2,csta_top1_current,12,3,3,1.0,0,0,0.8368667407660213,0.1980876345865315,0.497886771599668,0.3338928158559922,0.3855171229517191,0.3242681715701345,0.3389799691663532,0.4513496178143021,0.1631332592339786,0.5021132284003319,0.614482877048281,False,policy_replay,0.8368667407660215,0.6681498913431843,0.1409444403474656,2.1666666666666665,0.1687168494228368,0.9000806475876812,0.2160146806201547,8,auto,0.9,10
atrialfibrillation,2,csta_topk_uniform_top5,12,3,3,1.0,0,0,0.5918169423765589,0.3396837202602103,0.497886771599668,0.3338928158559922,0.3855171229517191,0.3242681715701345,0.0939301707768908,0.2062998194248397,0.4081830576234411,0.5021132284003319,0.614482877048281,True,actual_candidate_audit,0.8368667407660215,0.6681498913431843,0.1409444403474656,2.0,-0.0763329489666255,0.9000806475876812,0.2160146806201547,8,auto,0.9,10
atrialfibrillation,2,pca_cov_state,12,3,3,1.0,0,0,,,,,0.3855171229517191,0.3242681715701345,,,,,0.614482877048281,False,policy_replay,0.8368667407660214,0.6681498913431843,0.1409444403474656,,,0.9000806475876811,0.2160146806201547,8,auto,0.9,10
atrialfibrillation,2,random_cov_state,12,3,3,1.0,0,0,,,0.497886771599668,0.3338928158559922,,,,,,0.5021132284003319,,False,policy_replay,0.8368667407660214,0.6681498913431843,0.1409444403474656,,,0.9000806475876811,0.2160146806201547,8,auto,0.9,10
atrialfibrillation,3,csta_top1_current,12,3,3,1.0,0,0,0.598767240698415,0.2928957004866294,0.4527235796746822,0.3120171688932068,0.4964345500593122,0.3427392635967273,0.1460436610237327,0.1023326906391028,0.4012327593015849,0.5472764203253178,0.5035654499406879,False,policy_replay,0.598767240698415,0.5187627087726523,0.1784786847765015,2.4166666666666665,0.0800045319257628,0.7879913920212858,0.1655339589803609,8,auto,0.9,10
atrialfibrillation,3,csta_topk_uniform_top5,12,3,3,1.0,0,0,0.4761742013048302,0.4170392834179267,0.4527235796746822,0.3120171688932068,0.4964345500593122,0.3427392635967273,0.0234506216301479,-0.0202603487544819,0.5238257986951698,0.5472764203253178,0.5035654499406879,True,actual_candidate_audit,0.598767240698415,0.5187627087726523,0.1784786847765015,2.6666666666666665,-0.0425885074678219,0.7879913920212858,0.1655339589803609,8,auto,0.9,10
atrialfibrillation,3,pca_cov_state,12,3,3,1.0,0,0,,,,,0.4964345500593122,0.3427392635967273,,,,,0.5035654499406879,False,policy_replay,0.598767240698415,0.5187627087726522,0.1784786847765015,,,0.787991392021286,0.1655339589803609,8,auto,0.9,10
