dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
racketsports,1,random_cov_state,success,,0.8648953301127213,0.866174102491238,0.0012787723785167,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,17.484920520102605,0.0001210470709104,,
racketsports,1,pca_cov_state,success,,0.8648953301127213,0.8637697008350473,-0.001125629277674,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,3.774422187823802,0.0001210421578135,10.0,0.8398932814598083
racketsports,2,random_cov_state,success,,0.8958527065581133,0.8758928571428571,-0.0199598494152561,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,3.694103485206142,0.0001339570574274,,
racketsports,2,pca_cov_state,success,,0.8958527065581133,0.8646387233650932,-0.0312139831930201,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,4.706527610076591,0.0001339638195044,10.0,0.8395488262176514
racketsports,3,random_cov_state,success,,0.8782110267617513,0.90958605664488,0.0313750298831287,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,2.7909169821068645,0.0001230326079869,,
racketsports,3,pca_cov_state,success,,0.8782110267617513,0.9085131618733684,0.0303021351116169,1200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,11.032109811902046,0.0001230060479383,10.0,0.8435896039009094
selfregulationscp2,1,random_cov_state,success,,0.4666008149154216,0.4767441860465116,0.0101433711310899,1600,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,60.92464295797981,1.1579851495147802e-05,,
selfregulationscp2,1,pca_cov_state,success,,0.4666008149154216,0.5,0.0333991850845783,1600,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,50.79244641191326,1.1579719757497432e-05,10.0,0.998552680015564
selfregulationscp2,2,random_cov_state,success,,0.4925493354812726,0.5253017281499177,0.032752392668645,1600,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,43.78094102512114,1.1483485887008605e-05,,
selfregulationscp2,2,pca_cov_state,success,,0.4925493354812726,0.5324096981692232,0.0398603626879505,1600,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,43.19077052292414,1.148338113074036e-05,10.0,0.9986796975135804
selfregulationscp2,3,random_cov_state,success,,0.5037020973388271,0.5095975232198142,0.0058954258809871,1600,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,36.071563348174095,1.1450587889765998e-05,,
selfregulationscp2,3,pca_cov_state,success,,0.5037020973388271,0.4984520123839009,-0.0052500849549261,1600,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,27.51317373802885,1.1449013770419838e-05,10.0,0.9986287355422974
uwavegesturelibrary,1,random_cov_state,success,,0.9431920448344072,0.9466382512659612,0.003446206431554,960,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,17.044176676077768,0.0016618132985408,,
uwavegesturelibrary,1,pca_cov_state,success,,0.9431920448344072,0.952892839433305,0.0097007945988979,960,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,11.527589181205258,0.0016658113191644,6.0,1.0
uwavegesturelibrary,2,random_cov_state,success,,0.9177708970077644,0.9306383058650992,0.0128674088573346,960,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,16.572113282047212,0.0017113915193158,,
uwavegesturelibrary,2,pca_cov_state,success,,0.9177708970077644,0.930538469508594,0.0127675725008293,960,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,18.861038357950747,0.0017071950326955,6.0,1.0
uwavegesturelibrary,3,random_cov_state,success,,0.9055328019779824,0.9235409478608096,0.0180081458828272,960,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,17.266137435100973,0.0018437266673245,,
uwavegesturelibrary,3,pca_cov_state,success,,0.9055328019779824,0.9237350714397686,0.0182022694617862,960,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,11.364128552842883,0.0018432345255055,6.0,0.9999998807907104
