dataset,seed,csta_topk_uniform_top5,no_aug,pca_cov_state,random_cov_state,delta_csta,delta_random,delta_pca
articularywordrecognition,1,0.9519287263461176,0.9523332609419566,0.9491806164849644,0.9491806164849644,-0.0004045345958390012,-0.0031526444569921486,-0.0031526444569921486
articularywordrecognition,2,0.9596672544846458,0.9562515397645832,0.9627441775615688,0.9627441775615688,0.0034157147200626348,0.006492637796985612,0.006492637796985612
articularywordrecognition,3,0.9560732291862726,0.9597161254204732,0.9458919541006496,0.9458919541006496,-0.0036428962342006654,-0.013824171319823608,-0.013824171319823608
atrialfibrillation,1,0.3722222222222222,0.3148148148148148,0.3333333333333333,0.3333333333333333,0.05740740740740735,0.01851851851851849,0.01851851851851849
atrialfibrillation,2,0.4761904761904762,0.2666666666666666,0.3518518518518518,0.4081196581196581,0.2095238095238096,0.1414529914529915,0.0851851851851852
atrialfibrillation,3,0.4469696969696969,0.5333333333333333,0.4396825396825397,0.4396825396825397,-0.08636363636363642,-0.09365079365079365,-0.09365079365079365
basicmotions,1,1.0,0.9244322928533454,1.0,1.0,0.07556770714665462,0.07556770714665462,0.07556770714665462
basicmotions,2,1.0,0.949874686716792,1.0,1.0,0.05012531328320802,0.05012531328320802,0.05012531328320802
basicmotions,3,0.974937343358396,0.8989898989898989,0.974937343358396,0.974937343358396,0.0759474443684971,0.0759474443684971,0.0759474443684971
cricket,1,1.0,0.7673382173382174,1.0,1.0,0.2326617826617826,0.2326617826617826,0.2326617826617826
cricket,2,0.986013986013986,0.490297619047619,0.9860139860139862,0.9860139860139862,0.49571636696636706,0.4957163669663672,0.4957163669663672
cricket,3,0.9860139860139862,0.55267279017279,1.0,1.0,0.4333411958411961,0.44732720982720997,0.44732720982720997
epilepsy,1,0.9858903020667726,0.9709217843885812,0.9507042253521129,0.9507042253521129,0.014968517678191406,-0.02021755903646838,-0.02021755903646838
epilepsy,2,0.9717806041335452,0.9646766169154228,0.978856462179869,0.978856462179869,0.007103987218122332,0.014179845264446156,0.014179845264446156
epilepsy,3,0.9788059701492536,0.9646766169154228,0.9716905901116428,0.9717806041335452,0.0141293532338308,0.007103987218122332,0.007013973196219991
ering,1,0.8582793035481839,0.7292745612334898,0.8241038354410447,0.8241038354410447,0.12900474231469417,0.09482927420755494,0.09482927420755494
ering,2,0.8607731073161736,0.6997916739304767,0.8430671281902472,0.8465685985904517,0.16098143338569693,0.14677692465997505,0.1432754542597705
ering,3,0.8683740780403139,0.3874090104269132,0.8719328653385873,0.8684233807366656,0.48096506761340063,0.48101437030975236,0.48452385491167405
ethanolconcentration,1,0.2961794888228019,0.2684442684505449,0.2931602430128902,0.299612639856872,0.027735220372256952,0.031168371406327056,0.024715974562345255
ethanolconcentration,2,0.2614464767963947,0.2494913059563447,0.2509375765861193,0.3048959494611668,0.011955170840050017,0.05540464350482213,0.0014462706297746208
ethanolconcentration,3,0.2583332726927815,0.2728750577901063,0.2541091637029434,0.3068391525799069,-0.014541785097324789,0.033964094789800614,-0.018765894087162893
fingermovements,1,0.5495946351716545,0.5242433444680635,0.5699569956995699,0.5398159263705482,0.02535129070359099,0.015572581902484672,0.04571365123150639
fingermovements,2,0.6096486838154338,0.5118845500848896,0.58,0.6096486838154338,0.09776413373054416,0.09776413373054416,0.06811544991511032
fingermovements,3,0.562608076492727,0.468671679197995,0.5398159263705482,0.4981934965877158,0.09393639729473202,0.02952181738972076,0.07114424717255319
handmovementdirection,1,0.2708758162447016,0.3160753185521172,0.2613779864719714,0.2939127580856904,-0.045199502307415595,-0.022162560466426784,-0.054697332080145766
handmovementdirection,2,0.2914526921879863,0.2326330532212885,0.2967840982546865,0.30377972264382,0.05881963896669781,0.07114666942253153,0.064151045033398
handmovementdirection,3,0.2245384703589037,0.2367232737014951,0.2563314546073166,0.2573610343360026,-0.012184803342591394,0.020637760634507507,0.019608180905821504
handwriting,1,0.1180970595696678,0.0548722321751049,0.0910910298746822,0.0911042518184296,0.0632248273945629,0.036232019643324696,0.0362187976995773
handwriting,2,0.102885881455579,0.0607635546391134,0.0653731002976333,0.0671978641662128,0.042122326816465605,0.006434309527099405,0.004609545658519898
handwriting,3,0.0948219229505396,0.0638755929043932,0.0906681930406367,0.0897368509734683,0.0309463300461464,0.025861258069075105,0.026792600136243502
