dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
articularywordrecognition,no_aug,0.9561003087090043,0.003693754878326944,0.0,0.0,0.9813333333333333,0.0,0.0,3
articularywordrecognition,csta_topk_uniform_top5,0.9558897366723453,0.0038725258636578457,-0.00021057203665901061,0.003533300617932785,0.9928888888888889,2200.0,10.0,3
epilepsy,csta_topk_uniform_top5,0.9788256254498572,0.007054869501972511,0.012067286043381512,0.004318773050622611,1.0,1090.0,10.0,3
epilepsy,no_aug,0.9667583394064757,0.003605649121762368,0.0,0.0,1.0,0.0,0.0,3
ering,csta_topk_uniform_top5,0.8624754963015571,0.00525829955450478,0.2569837477712639,0.19463132050528698,0.7777777777777777,240.0,10.0,3
ering,no_aug,0.6054917485302932,0.18943962271639772,0.0,0.0,0.5833333333333334,0.0,0.0,3
handwriting,csta_topk_uniform_top5,0.10526828799192879,0.011819047839741671,0.04543116141905831,0.016391663661398704,0.14439417989417988,1200.0,10.0,3
handwriting,no_aug,0.059837126572870554,0.004572617174755066,0.0,0.0,0.1305886243386243,0.0,0.0,3
har,csta_topk_uniform_top5,0.9676499650724532,,0.01016980691488134,,0.9993726333714236,58810.0,10.0,1
har,no_aug,0.9574850471182119,6.914034443142887e-06,0.0,0.0,0.9927881186193089,0.0,0.0,2
motorimagery,csta_topk_uniform_top5,0.5686051435498259,0.0732277455543667,0.14808802085149508,0.09239022713894621,0.49941764680037454,2220.0,10.0,3
motorimagery,no_aug,0.4205171226983308,0.1548977427486283,0.0,0.0,0.48168307824157214,0.0,0.0,3
natops,no_aug,0.9426976882178102,0.008224297974513066,0.0,0.0,0.9633144633144634,0.0,0.0,3
natops,csta_topk_uniform_top5,0.9009575865332974,0.06659773162923628,-0.041740101684512844,0.07381978923026337,0.9541199541199541,1440.0,10.0,3
uwavegesturelibrary,csta_topk_uniform_top5,0.9206328355169905,0.012376791293422501,0.010018257515060358,0.011643284065142808,0.9857142857142858,960.0,10.0,3
uwavegesturelibrary,no_aug,0.91061457800193,0.013343103550115245,0.0,0.0,0.9571428571428572,0.0,0.0,3
