dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,template_response_top1_mean,template_response_top5_mean,template_response_gap_top1_top5_mean,template_response_entropy_mean,pre_safe_displacement_norm_mean,post_safe_displacement_norm_mean,gamma_used_ratio_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_response_top1_mean_audit,template_response_top5_mean_audit,template_response_gap_top1_top5_mean_audit,template_response_entropy_mean_audit,selected_template_response_abs_mean_audit,gamma_used_ratio_mean_audit,pre_safe_displacement_norm_mean_audit,post_safe_displacement_norm_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,bridge_success_rate,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,ag_target_norm_mean_audit,ag_pred_norm_mean_audit,ag_pred_target_cosine_mean_audit,ag_tangent_available_rate_audit,ag_fallback_rate_audit,cs_flow_target_dist_mean_audit,cs_flow_velocity_norm_mean_audit,cs_flow_pred_target_cosine_mean_audit,cs_flow_fallback_rate_audit,latent_target_dist_mean_audit,latent_target_sampling_prob_mean_audit,latent_residual_norm_mean_audit,latent_pred_velocity_norm_mean_audit,latent_pred_target_cosine_mean_audit,latent_fallback_rate_audit,task_utility_mean_audit,task_margin_mean_audit,lc_utility_mean_audit,lc_margin_mean_audit,lc_margin_target_mean_audit,lc_fallback_rate_audit,spg_grad_norm_mean_audit,spg_projected_grad_norm_mean_audit,spg_projection_energy_mean_audit,ecl_projection_energy_mean_audit,ecl_alpha_mean_audit,ecl_alignment_to_projected_gradient_mean_audit,ecl_support_noise_norm_mean_audit,ecl_fallback_rate_audit,rn_ecl_projection_energy_mean_audit,rn_ecl_alpha_mean_audit,rn_ecl_alignment_to_projected_gradient_mean_audit,rn_ecl_support_noise_norm_mean_audit,rn_ecl_fallback_rate_audit,selected_template_entropy
handwriting,1,no_aug,success,,0.05487223217510491,0.05487223217510491,0.0,0,0.0,0.0,none,hard,moderntcn,True,False,none,True,none,0.1111111111111111,18,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwriting,1,csta_topk_uniform_top5,success,,0.0548722321751049,0.1180970595696678,0.0632248273945629,1200,10.0,10.0,covariance_template,hard,moderntcn,True,False,none,True,uniform_top5_response,0.156,20,0,0,22.42007014900446,uniform_topk,single_anchor,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001568529731629,0.0003234642576246,1.0785511875746852,0.1188303850733959,0.6681662137261706,0.2429830989517447,0.1,0.0949935641724592,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.1916666666666666,2.219098213268788,0.1583333333333333,1.0,1200.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/moderntcn_final20_robustness_v1/_csta_runs/csta_topk_uniform_top5/handwriting/s1/candidate_audit/handwriting_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.094993564533283,0.3624644310350514,0.5721789178923395,0.3697576212937539,0.2024212965985855,2.025558924146072,0.1000000003848144,0.094993565355738,0.9499356417245928,0.1,0.0949935641724592,0.6681662137261706,0.1916666666666666,0.0,0.2429830989517447,0.0003234642576246,0.5721789178923395,0.3697576212937539,0.2024212965985855,2.025558924146072,0.3624644310350514,0.9499356417245928,0.1000000003848144,0.094993565355738,2.219098213268788,0.1583333333333333,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,6.0,120.0,False,1.0,1.0,1.0,0.0,0.7453685192797045,0.7444455584581675,0.002264257482999,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,2.219098213268788
handwriting,2,no_aug,success,,0.06076355463911347,0.06076355463911347,0.0,0,0.0,0.0,none,hard,moderntcn,True,False,none,True,none,0.15218253968253967,19,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwriting,2,csta_topk_uniform_top5,success,,0.0607635546391134,0.102885881455579,0.042122326816465605,1200,10.0,10.0,covariance_template,hard,moderntcn,True,False,none,True,uniform_top5_response,0.1438492063492063,30,0,0,29.33530242415145,uniform_topk,single_anchor,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001569548081644,0.0003197857569375,1.0824877931967478,0.1248401396651636,0.6407217778412391,0.2591882417685238,0.1,0.0963474860058775,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.15,2.1580509684502043,0.1666666666666666,1.0,1200.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/moderntcn_final20_robustness_v1/_csta_runs/csta_topk_uniform_top5/handwriting/s2/candidate_audit/handwriting_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.096347486201824,0.3961350884392496,0.5572447501663175,0.3912168280639282,0.1660279221023891,2.055819159028318,0.1000000002041799,0.0963474861035744,0.9634748600587758,0.1,0.0963474860058775,0.6407217778412391,0.15,0.0,0.2591882417685238,0.0003197857569375,0.5572447501663175,0.3912168280639282,0.1660279221023891,2.055819159028318,0.3961350884392496,0.9634748600587758,0.1000000002041799,0.0963474861035744,2.1580509684502043,0.1666666666666666,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,6.0,120.0,False,1.0,1.0,1.0,0.0,0.7552577188516096,0.7538034710311421,0.0025632709193199,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,2.1580509684502043
handwriting,3,no_aug,success,,0.06387559290439329,0.06387559290439329,0.0,0,0.0,0.0,none,hard,moderntcn,True,False,none,True,none,0.1284722222222222,20,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
handwriting,3,csta_topk_uniform_top5,success,,0.0638755929043932,0.0948219229505396,0.0309463300461464,1200,10.0,10.0,covariance_template,hard,moderntcn,True,False,none,True,uniform_top5_response,0.1333333333333333,12,0,0,16.999146926915273,uniform_topk,single_anchor,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001569405826218,0.000324694489452,1.082370704597051,0.1243733582160114,0.64532551924759,0.2621793509247431,0.1,0.0967404976609793,0.0,0.0,0.0,1200.0,1200.0,10.0,10.0,0.1833333333333333,2.1664664038326835,0.1666666666666666,1.0,1200.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/moderntcn_final20_robustness_v1/_csta_runs/csta_topk_uniform_top5/handwriting/s3/candidate_audit/handwriting_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0967404972016734,0.3674349302134919,0.5363409377057261,0.3583981210964416,0.1779428166092844,2.05449023240266,0.0999999995347346,0.0967404974624514,0.9674049766097932,0.1,0.0967404976609793,0.64532551924759,0.1833333333333333,0.0,0.2621793509247431,0.000324694489452,0.5363409377057261,0.3583981210964416,0.1779428166092844,2.05449023240266,0.3674349302134919,0.9674049766097932,0.0999999995347346,0.0967404974624514,2.1664664038326835,0.1666666666666666,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,6.0,120.0,False,1.0,1.0000000000000002,1.0,0.0,0.7505251104427254,0.7490490656463976,0.0034144444333813,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,2.1664664038326835
uwavegesturelibrary,1,no_aug,success,,0.9181638802590955,0.9181638802590955,0.0,0,0.0,0.0,none,hard,moderntcn,True,False,none,True,none,0.9142857142857144,25,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uwavegesturelibrary,1,csta_topk_uniform_top5,success,,0.9181638802590956,0.9348181996627172,0.01665431940362161,960,10.0,10.0,covariance_template,hard,moderntcn,True,False,none,True,uniform_top5_response,0.9571428571428572,30,0,0,27.386337384115905,uniform_topk,single_anchor,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001571868236715,0.0016660083229441,1.0934279514565983,0.1346404829944675,0.4186423349043168,0.5399915419819015,0.1,0.0971259695857561,0.0,0.0,0.0,960.0,960.0,10.0,10.0,0.1041666666666666,2.1958376561079618,0.1458333333333333,1.0,960.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/moderntcn_final20_robustness_v1/_csta_runs/csta_topk_uniform_top5/uwavegesturelibrary/s1/candidate_audit/uwavegesturelibrary_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0971259686099888,0.6535467434996673,0.9843198310564376,0.6816735394834711,0.3026462915729665,2.0632842973744534,0.0999999989529192,0.0971259706808875,0.9712596958575612,0.1,0.0971259695857561,0.4186423349043168,0.1041666666666666,0.0,0.5399915419819015,0.0016660083229441,0.9843198310564376,0.6816735394834711,0.3026462915729665,2.0632842973744534,0.6535467434996673,0.9712596958575612,0.0999999989529192,0.0971259706808875,2.1958376561079618,0.1458333333333333,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,6.0,96.0,False,1.0,1.0,1.0,0.0,0.5357482293471013,0.6307315884286868,0.0310722348569497,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,2.1958376561079618
uwavegesturelibrary,2,no_aug,success,,0.9184715406445128,0.9184715406445128,0.0,0,0.0,0.0,none,hard,moderntcn,True,False,none,True,none,0.9571428571428571,30,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uwavegesturelibrary,2,csta_topk_uniform_top5,success,,0.9184715406445128,0.915045658595492,-0.003425882049020723,960,10.0,10.0,covariance_template,hard,moderntcn,True,False,none,True,uniform_top5_response,1.0,23,0,0,25.552586314966902,uniform_topk,single_anchor,5.0,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000157112917979,0.0017084168230145,1.0877963696718784,0.1323354688698977,0.4271753121969882,0.5247056002453537,0.1,0.0973153676772554,0.0,0.0,0.0,960.0,960.0,10.0,10.0,0.1145833333333333,2.2182004537495024,0.1979166666666666,1.0,960.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/moderntcn_final20_robustness_v1/_csta_runs/csta_topk_uniform_top5/uwavegesturelibrary/s2/candidate_audit/uwavegesturelibrary_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0973153667777215,0.6617026589042019,0.9405060433102972,0.6599787793063079,0.280527264003989,2.058810344235316,0.0999999990637209,0.0973153690186639,0.9731536767725548,0.1,0.0973153676772554,0.4271753121969882,0.1145833333333333,0.0,0.5247056002453537,0.0017084168230145,0.9405060433102972,0.6599787793063079,0.280527264003989,2.058810344235316,0.6617026589042019,0.9731536767725548,0.0999999990637209,0.0973153690186639,2.2182004537495024,0.1979166666666666,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,6.0,96.0,False,0.9999999999999998,1.0,1.0,0.0,0.5818917124137668,0.608124924880331,0.0229216565384146,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,0.0,2.2182004537495024
