dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,csta_topk_uniform_top5,0.3971059804393137,0.07139708216931855,0.0976306191992466,0.14255413463614136,0.5555555555555555,120.0,10.0,3
atrialfibrillation,no_aug,0.3519640852974186,0.10810195904380615,0.0,0.0,0.5555555555555555,0.0,0.0,3
ering,no_aug,0.8858687505109012,0.01926078702410432,0.0,0.0,1.0,0.0,0.0,3
ering,csta_topk_uniform_top5,0.8803503606843016,0.0305534679664212,0.0350271511620022,0.03318423963219973,1.0,240.0,10.0,3
handmovementdirection,no_aug,0.43711269104371636,0.012674755224179587,0.0,0.0,0.5151543309631545,0.0,0.0,3
handmovementdirection,csta_topk_uniform_top5,0.36167236502308314,0.09340744629569257,-0.05638235457156506,0.04330089436203577,0.4021557475891841,1280.0,10.0,3
handwriting,csta_topk_uniform_top5,0.15636170428193888,0.01113432291176028,0.06800648080172826,0.04046886643966234,0.17746357346357342,1200.0,10.0,3
handwriting,no_aug,0.09933643612804073,0.010661138008779455,0.0,0.0,0.1069088319088319,0.0,0.0,3
japanesevowels,csta_topk_uniform_top5,0.8683684737848015,0.010596902726467248,0.0013986804553597725,0.008140714068023016,0.892342225675559,2160.0,10.0,3
japanesevowels,no_aug,0.8662752251152415,0.019087039340162013,0.0,0.0,0.8479649979649979,0.0,0.0,3
natops,csta_topk_uniform_top5,0.8462875250391955,0.03149337414648031,0.058114593006784454,0.05229355216271314,0.8299607799607799,1440.0,10.0,3
natops,no_aug,0.7989986676012834,0.011132343050733334,0.0,0.0,0.823045473045473,0.0,0.0,3
racketsports,csta_topk_uniform_top5,0.728948481040456,0.01974578680078177,0.060489776276168396,0.029152784138855303,0.764817516075256,1200.0,10.0,3
racketsports,no_aug,0.6798618341327586,0.018644597325375618,0.0,0.0,0.7465169634287281,0.0,0.0,3
