anchor_index,tid,class_id,candidate_order,direction_id,sign,gamma_requested,gamma_used,direction_norm,safe_upper_bound,safe_radius_ratio,manifold_margin,algo,engine_id,direction_bank_source,transport_error_fro,transport_error_logeuc,bridge_cond_A,metric_preservation_error,margin_aug,feedback_weight,osf_direction_id_lraes,osf_direction_id_zpia,osf_sign_lraes,osf_sign_zpia,osf_gamma_used_lraes,osf_gamma_used_zpia,osf_r_shared,osf_alpha_eff,osf_structure_norm_raw,osf_structure_norm_eff,osf_risk_norm_restored,osf_risk_budget,osf_risk_scale,osf_final_norm,osf_structure_overflow,osf_risk_status
1,ering_train_0,2,0,8,-1.0,0.1,0.1,1.0,0.3990484176680473,0.3543965078014595,0.7980968353368927,adaptive,osf_fused,orthogonal_fusion,0.0001865201325826826,0.0007724343384061619,1.1388733676245386,0.19902079648669105,-0.014744289219379425,0.4963139944712235,8,8,-1.0,-1.0,0.1,0.1,0.39904841766844634,1.0,0.10000001014244429,0.10000001014244429,0.09999999203855704,0.3863154638571977,1.0,0.14142136566575,False,restored
1,ering_train_0,2,1,1,-1.0,0.1,0.1,1.0,0.3990484176680473,0.3543964423515402,0.7980968353368927,adaptive,osf_fused,orthogonal_fusion,0.00018629484092528865,0.0007723258173118879,1.1255129422582246,0.18493953727427317,-0.01150534301996231,0.4971236959736692,1,1,-1.0,-1.0,0.1,0.1,0.39904841766844634,1.0,0.0999999867137159,0.0999999867137159,0.09999999472291089,0.3863154699218599,1.0,0.14142133954806327,False,restored
9,ering_train_1,1,0,2,-1.0,0.1,0.1,1.0,0.5142559278755421,0.2750019088036708,1.0285118557521127,adaptive,osf_fused,orthogonal_fusion,0.00018136778688069132,0.0009441074642883207,1.1353858320170491,0.20332580862957222,0.0404471829533577,0.5101104174104067,2,2,-1.0,-1.0,0.1,0.1,0.5142559278760563,1.0,0.10000000386996978,0.10000000386996978,0.09999999245883104,0.5044394498665521,1.0,0.14142136177979336,False,restored
9,ering_train_1,1,1,9,-1.0,0.1,0.1,1.0,0.5142559278755421,0.27500187395449277,1.0285118557521127,adaptive,osf_fused,orthogonal_fusion,0.00018586964610769718,0.0009558993162675274,1.1451395983865413,0.21401523333087957,0.04085862636566162,0.5102132357763539,9,9,-1.0,-1.0,0.1,0.1,0.5142559278760563,1.0,0.10000000340601999,0.10000000340601999,0.0999999932209542,0.5044394499585254,1.0,0.14142134385839697,False,restored
6,ering_train_11,1,0,1,-1.0,0.1,0.1,1.0,0.5938860785184948,0.2381287483373389,1.1877721570381776,adaptive,osf_fused,orthogonal_fusion,0.0001865954226823597,0.0008523099467074339,1.1342489761921022,0.19821210446811402,0.02037745714187622,0.5050941880104808,1,1,-1.0,-1.0,0.1,0.1,0.5938860785190888,1.0,0.10000000374286928,0.10000000374286928,0.09999999040032567,0.5854064173804447,1.0,0.14142134853295932,False,restored
6,ering_train_11,1,1,4,1.0,0.1,0.1,0.9999999403953552,0.5938861139168657,0.23812868150626068,1.1877721570381776,adaptive,osf_fused,orthogonal_fusion,0.00018294769880868747,0.0008602239959697784,1.1469317375176393,0.2163177659238876,0.023327983915805817,0.5058317315148366,4,4,1.0,1.0,0.1,0.1,0.5938860785190888,1.0,0.09999999682794512,0.09999999682794512,0.09999999225654449,0.5854064185616624,1.0,0.14142130884291235,False,restored
13,ering_train_12,0,0,0,-1.0,0.1,0.1,1.0,0.421040823707523,0.33588517023283443,0.8420816474158881,adaptive,osf_fused,orthogonal_fusion,0.00019022082713691512,0.0006342155740859177,1.1293400664135438,0.2001886083923925,-0.011616364121437073,0.49709594162568316,0,0,-1.0,-1.0,0.1,0.1,0.42104082370794405,1.0,0.09999999883079616,0.09999999883079616,0.10000000399389322,0.40899312397949283,1.0,0.1414213687464515,False,restored
13,ering_train_12,0,1,6,1.0,0.1,0.1,1.0,0.421040823707523,0.33588533122769443,0.8420816474158881,adaptive,osf_fused,orthogonal_fusion,0.00018360106232956556,0.000635344809389417,1.143544140196985,0.19758640860805946,-0.015428833663463593,0.4961428680993337,6,6,1.0,1.0,0.1,0.1,0.42104082370794405,1.0,0.10000000643261929,0.10000000643261929,0.09999998549352583,0.40899312212082506,1.0,0.14142143653185996,False,restored
4,ering_train_13,0,0,6,-1.0,0.1,0.1,1.0,0.3990484176680473,0.35439664349036415,0.7980968353368927,adaptive,osf_fused,orthogonal_fusion,0.0001808431894250061,0.0004889511335603861,1.141343391388832,0.1865242098733657,0.015259645879268646,0.5038148374442035,6,6,-1.0,-1.0,0.1,0.1,0.39904841766844634,1.0,0.09999999288007469,0.09999999288007469,0.09999997540088018,0.3863154683256623,1.0,0.1414214198121927,False,restored
4,ering_train_13,0,1,0,1.0,0.1,0.1,1.0,0.3990484176680473,0.3543964978779717,0.7980968353368927,adaptive,osf_fused,orthogonal_fusion,0.00017382429815156075,0.00048561875380038024,1.128613103374638,0.18125403012348845,0.010410532355308533,0.5026026095831443,0,0,1.0,1.0,0.1,0.1,0.39904841766844634,1.0,0.09999999817340728,0.09999999817340728,0.0999999946943273,0.38631546695545255,1.0,0.1414213617057979,False,restored
10,ering_train_14,5,0,7,1.0,0.1,0.1,0.9999999403953552,0.9842913005827637,0.14367835755208117,1.9685824838308292,adaptive,osf_fused,orthogonal_fusion,0.000175383796552718,0.0040107798774432595,1.1235069400595619,0.19512871355133743,-0.01440437138080597,0.49639896941817696,7,7,1.0,1.0,0.1,0.1,0.9842912419154146,1.0,0.09999999231676603,0.09999999231676603,0.09999999334834145,0.979198269222345,1.0,0.14142134899144865,False,restored
10,ering_train_14,5,1,0,-1.0,0.1,0.1,1.0,0.9842912419144303,0.14367835554230227,1.9685824838308292,adaptive,osf_fused,orthogonal_fusion,0.00019052603906034263,0.004180418461757142,1.1396329225768134,0.2136192079810301,-0.016953766345977783,0.495761659931928,0,0,-1.0,-1.0,0.1,0.1,0.9842912419154146,1.0,0.09999998287594059,0.09999998287594059,0.09999998921341065,0.9791982701864831,1.0,0.14142134701324086,False,restored
21,ering_train_15,1,0,5,1.0,0.1,0.1,1.0,0.7406312956115567,0.19094704842735255,1.481262591224595,adaptive,osf_fused,orthogonal_fusion,0.00018690277563352005,0.001181510235779753,1.1340212904248659,0.20977259317356695,-0.001686982810497284,0.4995782543973965,5,5,1.0,1.0,0.1,0.1,0.7406312956122975,1.0,0.09999999033008322,0.09999999033008322,0.09999998384660744,0.733849247444142,1.0,0.14142135987028517,False,restored
21,ering_train_15,1,1,7,-1.0,0.1,0.1,0.9999999403953552,0.7406313397566248,0.1909470626291466,1.481262591224595,adaptive,osf_fused,orthogonal_fusion,0.00018944814740876035,0.0012234433616310594,1.1326983271968403,0.2156308111059364,-0.0014759302139282227,0.4996310175134997,7,7,-1.0,-1.0,0.1,0.1,0.7406312956122975,1.0,0.10000002931558272,0.10000002931558272,0.0999999866096475,0.7338492421316744,1.0,0.1414213703885783,False,restored
22,ering_train_16,4,0,2,-1.0,0.1,0.1,1.0,0.6044862091101526,0.23395295184231868,1.2089724182215142,adaptive,osf_fused,orthogonal_fusion,0.00018141663700544552,0.0008887407802717775,1.1377625186497053,0.20553245974881623,-0.09248676896095276,0.47689477520625484,2,2,-1.0,-1.0,0.1,0.1,0.6044862091107571,1.0,0.10000000038684759,0.10000000038684759,0.09999995519827272,0.5961573424254074,1.0,0.1414213329696687,False,restored
22,ering_train_16,4,1,8,-1.0,0.1,0.1,1.0,0.6044862091101526,0.2339529788066778,1.2089724182215142,adaptive,osf_fused,orthogonal_fusion,0.00018601606020754623,0.0009294841163096233,1.1199987010541133,0.17570489230139066,-0.09294265508651733,0.47678104825021156,8,8,-1.0,-1.0,0.1,0.1,0.6044862091107571,1.0,0.09999998430510738,0.09999998430510738,0.09999999468773275,0.5961573451229736,1.0,0.14142134926925193,False,restored
18,ering_train_17,0,0,4,1.0,0.1,0.1,0.9999999403953552,0.45632641579746663,0.30991263759142407,0.912652777197498,adaptive,osf_fused,orthogonal_fusion,0.00018242699589662056,0.0008747003915694239,1.1336175830915336,0.19470172074978867,-0.008962303400039673,0.4977594391473288,4,4,1.0,1.0,0.1,0.1,0.456326388598749,1.0,0.09999999471789214,0.09999999471789214,0.10000000264062506,0.4452345157195229,1.0,0.14142131469351735,False,restored
18,ering_train_17,0,1,3,-1.0,0.1,0.1,1.0,0.45632638859829266,0.3099125841481385,0.912652777197498,adaptive,osf_fused,orthogonal_fusion,0.0001849313486746325,0.0008770302066263196,1.1431282380093215,0.21219246908234207,-0.005569249391555786,0.4986076912508257,3,3,-1.0,-1.0,0.1,0.1,0.456326388598749,1.0,0.1000000074257935,0.1000000074257935,0.09999999581637184,0.4452345128653188,1.0,0.14142129030593587,False,restored
