dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,wdba_k,wdba_max_iter,wdba_tau
basicmotions,1,wdba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,13.242111709958408,5.0,5.0,69.23592840214386
basicmotions,2,wdba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,8.12991591100581,5.0,5.0,67.46993369786863
basicmotions,3,wdba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,8.152944378962275,5.0,5.0,71.15823246079995
ethanolconcentration,1,wdba_sameclass,success,,0.25302243628668,0.2690793443744747,0.016056908087794752,2080,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.32970531166626244,19,0,0,2666.331392495951,5.0,5.0,408377.19245482853
ethanolconcentration,2,wdba_sameclass,success,,0.2957462456440558,0.3008111422913494,0.005064896647293593,2080,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.4040674603174603,19,0,0,2598.7006727120024,5.0,5.0,419150.96488648443
ethanolconcentration,3,wdba_sameclass,success,,0.28869240338554825,0.28157098366933364,-0.007121419716214605,2080,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.37239769820971863,28,0,0,2573.7726693330333,5.0,5.0,407154.419530149
har,1,wdba_sameclass,success,,0.9355290262377642,0.9469055966251387,0.011376570387374496,58810,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9893072280253722,30,0,0,500.9436158600147,5.0,5.0,8.434571808852755
har,2,wdba_sameclass,success,,0.9342839169233081,0.9471902044636574,0.012906287540349282,58810,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9956114145645886,30,0,0,503.709895426,5.0,5.0,8.48912999394951
har,3,wdba_sameclass,success,,0.9348718872533843,0.9608629884886529,0.0259911012352686,58810,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.993727154816649,30,0,0,502.71820904599736,5.0,5.0,8.47708699390341
motorimagery,1,wdba_sameclass,success,,0.4025735294117647,0.3686255463817387,-0.033947983030026,2220,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.6066411238825031,17,0,0,23240.403172938037,5.0,5.0,4309.905064492778
motorimagery,2,wdba_sameclass,success,,0.40910670837678137,0.42301852414211966,0.013911815765338287,2220,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5281429052915403,19,0,0,23301.925605961005,5.0,5.0,4311.256198341322
motorimagery,3,wdba_sameclass,success,,0.4967793880837359,0.43363196375244567,-0.06314742433129023,2220,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5942028985507246,13,0,0,23412.94165535504,5.0,5.0,4229.056819525754
selfregulationscp2,1,wdba_sameclass,success,,0.3849097867687261,0.5542857142857143,0.16937592751698816,1600,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5174603174603174,12,0,0,509.1081853430369,5.0,5.0,1196.3350060638722
selfregulationscp2,2,wdba_sameclass,success,,0.4562610943290461,0.4335903731111034,-0.022670721217942724,1600,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5604395604395604,14,0,0,508.69370757596334,5.0,5.0,1236.9304558296903
selfregulationscp2,3,wdba_sameclass,success,,0.5110507470058032,0.5314285714285715,0.020377824422768254,1600,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.6266666666666667,14,0,0,507.48156751401257,5.0,5.0,1196.2473956557237
